domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.moe,suspend,False,False,,False
101010.pl,silence,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
aethy.com,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
asteroidm.space,suspend,False,False,,False
bae.st,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
childlove.su,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
clew.lol,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cunnyborea.space,suspend,False,False,,False
decayable.ink,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
eientei.org,suspend,False,False,,False
epsilon.social,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
federated.fun,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
freak.university,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
froth.zone,silence,False,False,,False
gameliberty.club,suspend,False,False,,False
gearlandia.haus,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
ghetti.monster,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
h5q.net,suspend,False,False,,False
hentai.baby,suspend,False,False,,False
ignorelist.com,suspend,False,False,,False
lolison.network,suspend,False,False,,False
lolison.top,suspend,False,False,,False
mapsupport.de,suspend,False,False,,False
masochi.st,suspend,False,False,,False
mastertibbles.co.uk,suspend,False,False,,False
mastinator.com,suspend,False,False,,False
merovingian.club,suspend,False,False,,False
minds.com,suspend,False,False,,False
mirr0r.city,suspend,False,False,,False
mostr.pub,suspend,False,False,,False
mugicha.club,suspend,False,False,,False
nicecrew.digital,suspend,False,False,,False
nnia.space,suspend,False,False,,False
noagendasocial.com,suspend,False,False,,False
obo.sh,suspend,False,False,,False
outpoa.st,suspend,False,False,,False
pawoo.net,suspend,False,False,,False
pedo.school,suspend,False,False,,False
pibvt.net,suspend,False,False,,False
pieville.net,suspend,False,False,,False
poa.st,suspend,False,False,,False
poster.place,suspend,False,False,,False
poweredbycocaine.com,suspend,False,False,,False
qoto.org,silence,False,False,,False
quanta.wiki,suspend,False,False,,False
rcsocial.net,silence,False,False,,False
refusal.llc,suspend,False,False,,False
repl.co,suspend,False,False,,False
republic.red,suspend,False,False,,False
rojogato.com,suspend,False,False,,False
ryona.agency,suspend,False,False,,False
scots.network,suspend,False,False,,False
seal.cafe,suspend,False,False,,False
shitpost.cloud,suspend,False,False,,False
shitposter.club,suspend,False,False,,False
shota.house,suspend,False,False,,False
sneed.social,suspend,False,False,,False
spinster.xyz,suspend,False,False,,False
springbo.cc,suspend,False,False,,False
squid.kids,suspend,False,False,,False
threads.net,silence,False,False,,False
trumpislovetrumpis.life,suspend,False,False,,False
truthsocial.co.in,suspend,False,False,,False
varishangout.net,suspend,False,False,,False
wikileaks2.org,suspend,False,False,,False
wolfgirl.bar,suspend,False,False,,False
yggdrasil.social,suspend,False,False,,False
youjo.love,suspend,False,False,,False
