domain,severity,public_comment,reject_media,reject_reports,obfuscate
activitypub-troll.cf,suspend,,True,True,False
bae.st,silence,,False,False,False
baraag.net,silence,,False,False,False
childpawn.shop,suspend,,True,True,False
d-fens.systems,suspend,,True,True,False
develop.gab.com,suspend,,True,True,False
fr13nd5.com,suspend,,True,True,False
freak.university,suspend,,True,True,False
freefedifollowers.ga,suspend,,True,True,False
gab.ai,suspend,,True,True,False
gab.com,suspend,,True,True,False
gabfed.com,suspend,,True,True,False
gamemaking.social,silence,,False,False,False
ghetti.monster,noop,,True,False,False
hentai.baby,suspend,,True,True,False
horserock.xyz,noop,,True,False,False
jubi.life,silence,,False,False,False
kodlomrazi.ru,silence,,False,False,False
laserdisc.party,suspend,,True,True,False
lolison.network,noop,,True,False,False
lolison.top,silence,,True,False,False
lush.moe,silence,,False,False,False
mastinator.com,suspend,,True,True,False
mastodon.eunomia.social,suspend,,True,True,False
milker.cafe,silence,,False,False,False
mouse.photos,silence,,False,False,False
mspsocial.net,silence,,False,False,False
mstdn.jp,suspend,,True,True,False
nnia.space,noop,,True,False,False
onevery.ignorelist.com,suspend,,True,True,False
pawoo.net,suspend,,True,True,False
pedo.school,noop,,True,False,False
pleroma.hatthieves.es,suspend,,True,True,False
poa.st,silence,,False,False,False
rage.love,silence,,False,False,False
rapemeat.solutions,noop,,True,False,False
respublicae.eu,suspend,,True,True,False
sad.cab,noop,,True,False,False
sinblr.com,suspend,,True,True,False
single.com,silence,,False,False,False
tenforward.social,silence,,False,False,False
toot-lab.reclaim.technology,silence,,False,False,False
toots.hwl.li,silence,,False,False,False
twimblr.xyz,silence,,False,False,False
ubiqueros.com,silence,,False,False,False
varishangout.net,silence,,False,False,False
wxw.moe,silence,,False,False,False
xhais.love,noop,,True,False,False
youjo.love,suspend,,True,True,False
