domain,severity,reject_media,reject_reports,public_comment,obfuscate
.cf,suspend,False,False,,False
.tk,suspend,False,False,,False
076.moe,suspend,False,False,,False
076.ne.jp,suspend,False,False,,False
0chan.ru,suspend,False,False,,False
0sint.social,suspend,False,False,,False
0w0.is,suspend,False,False,,False
0xspace.social,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
1210.nl,suspend,False,False,,False
129.159.139.0,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1745.info,suspend,False,False,,False
1984.cz,suspend,False,False,,False
1being.org,suspend,False,False,,False
2.distsn.org,suspend,False,False,,False
23.95.115.204,suspend,False,False,,False
2hu.club,suspend,False,False,,False
2ndamendment.social,suspend,False,False,,False
3q3.de,suspend,False,False,,False
420blaze.it,suspend,False,False,,False
434.earth,suspend,False,False,,False
448c.net,suspend,False,False,,False
4aem.com,suspend,False,False,,False
4chan.icu,suspend,False,False,,False
4qq.org,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
62x54r.ru,suspend,False,False,,False
7td.org,suspend,False,False,,False
80percent.social,suspend,False,False,,False
829.hu,suspend,False,False,,False
8777.ch,suspend,False,False,,False
9tail.net,suspend,False,False,,False
a.nti.social,suspend,False,False,,False
a.sc,suspend,False,False,,False
aaathats3as.com,suspend,False,False,,False
aaoth.xyz,suspend,False,False,,False
abdl.link,suspend,False,False,,False
abdulocra.cy,suspend,False,False,,False
ableppo.net,suspend,False,False,,False
abraham.su,suspend,False,False,,False
absturztau.be,suspend,False,False,,False
accela.online,suspend,False,False,,False
activism.openworlds.info,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
activitypub.actor,suspend,False,False,,False
activitypub.agates.io,suspend,False,False,,False
acu.lt,suspend,False,False,,False
adamasnemesis.com,suspend,False,False,,False
addy.gg,suspend,False,False,,False
adrienlacombe.me,suspend,False,False,,False
adtension.com,suspend,False,False,,False
aether.us,suspend,False,False,,False
aethy.com,suspend,False,False,,False
afd.best,suspend,False,False,,False
affiliates.social,suspend,False,False,,False
afterlife.masto.host,suspend,False,False,,False
agates.io,suspend,False,False,,False
aidoru.cafe,suspend,False,False,,False
airen-no-jikken.icu,suspend,False,False,,False
airis.work,suspend,False,False,,False
airmail.cc,suspend,False,False,,False
ak.kawen.space,suspend,False,False,,False
ak.kyaruc.moe,suspend,False,False,,False
akko.disqordia.space,suspend,False,False,,False
akko.saturno.black,suspend,False,False,,False
akko.wtf,suspend,False,False,,False
akm.longyap.name.my,suspend,False,False,,False
albin.social,suspend,False,False,,False
alderit.com,suspend,False,False,,False
alex0.net,suspend,False,False,,False
alfter.us,suspend,False,False,,False
alive.bar,suspend,False,False,,False
allegedly.illegitimate.technology,suspend,False,False,,False
alphasoft.org,suspend,False,False,,False
