domain,severity,public_comment,reject_media,reject_reports,obfuscate
076.moe,suspend,,True,True,False
10minutepleroma.com,suspend,,True,True,False
1611.social,suspend,,True,True,False
5dollah.click,suspend,,True,True,False
7td.org,suspend,,True,True,False
80percent.social,suspend,,True,True,False
a.sc,suspend,,True,True,False
activitypub-proxy.cf,suspend,,True,True,False
activitypub-troll.cf,suspend,,True,True,False
addy.gg,suspend,,True,True,False
aethy.com,suspend,,True,True,False
ak.kyaruc.moe,suspend,,True,True,False
albin.social,suspend,,True,True,False
angrytoday.com,suspend,,True,True,False
anime.website,suspend,,True,True,False
archivefedifor.fun,suspend,,True,True,False
asbestos.cafe,suspend,,True,True,False
aspiechattr.me,silence,,False,False,False
bae.st,suspend,,True,True,False
baraag.net,suspend,,True,True,False
bbs.kawa-kun.com,suspend,,True,True,False
beefyboys.club,suspend,,True,True,False
beefyboys.win,suspend,,True,True,False
berserker.town,suspend,,True,True,False
beta.birdsite.live,suspend,,True,True,False
beta.mstdn.cf,suspend,,True,True,False
bgzashtita.es,silence,,False,False,False
bikeshed.party,suspend,,True,True,False
birb.elfenban.de,suspend,,True,True,False
bird.evilcyberhacker.net,suspend,,True,True,False
bird.froth.zone,suspend,,True,True,False
bird.im-in.space,suspend,,True,True,False
bird.istheguy.com,suspend,,True,True,False
bird.makeup,suspend,,True,True,False
bird.nzbr.de,suspend,,True,True,False
bird.r669.live,suspend,,True,True,False
birdbots.leptonics.com,suspend,,True,True,False
birdbridge.autonomy.earth,suspend,,True,True,False
birds.im-in.space,suspend,,True,True,False
birdsite.b93.dece.space,suspend,,True,True,False
birdsite.blazelight.dev,suspend,,True,True,False
birdsite.cloutier.co,suspend,,True,True,False
birdsite.darkesttimeline.social,suspend,,True,True,False
birdsite.frog.fashion,suspend,,True,True,False
birdsite.gabeappleton.me,suspend,,True,True,False
birdsite.gred.al,suspend,,True,True,False
birdsite.james.moody.name,suspend,,True,True,False
birdsite.jemverse.xyz,suspend,,True,True,False
birdsite.lakedrops.com,suspend,,True,True,False
birdsite.link,suspend,,True,True,False
birdsite.mastodon.me.uk,suspend,,True,True,False
birdsite.monster,suspend,,True,True,False
birdsite.nytpu.com,suspend,,True,True,False
birdsite.oliviaappleton.com,suspend,,True,True,False
birdsite.platypush.tech,suspend,,True,True,False
birdsite.skye.cx,suspend,,True,True,False
birdsite.slashdev.space,suspend,,True,True,False
birdsite.spectreos.de,suspend,,True,True,False
birdsite.tcjc.uk,suspend,,True,True,False
birdsite.thorlaksson.com,suspend,,True,True,False
birdsite.toot.si,suspend,,True,True,False
birdsite.vrparty.social,suspend,,True,True,False
birdsite.wilde.cloud,suspend,,True,True,False
birdsitelive.bubbletea.dev,suspend,,True,True,False
birdsitelive.ffvo.dev,suspend,,True,True,False
birdsitelive.loca.lt,suspend,,True,True,False
birdsitelive.moistgarbage.info,suspend,,True,True,False
birdsitelive.peanutlasko.com,suspend,,True,True,False
birdsitelive.treffler.cloud,suspend,,True,True,False
bitcoinhackers.org,suspend,,True,True,False
bittube.video,suspend,,True,True,False
blob.cat,suspend,,True,True,False
bofh.social,suspend,,True,True,False
botsin.space,silence,,False,False,False
boyter.org,suspend,,True,True,False
brands.town,suspend,,True,True,False
breastmilk.club,suspend,,True,True,False
bridge.birb.space,suspend,,True,True,False
brighteon.social,suspend,,True,True,False
bruh.homd.xyz,suspend,,True,True,False
bsd.moe,silence,,False,False,False
bsl.sid500.com,suspend,,True,True,False
bsl.tuxz.one,suspend,,True,True,False
buckeye.social,suspend,,True,True,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,,True,True,False
bungle.online,suspend,,True,True,False
cachapa.xyz,suspend,,True,True,False
calobar.club,suspend,,True,True,False
catgirl.life,suspend,,True,True,False
cawfee.club,suspend,,True,True,False
childpawn.shop,suspend,,True,True,False
