domain,severity,reject_media,reject_reports,public_comment,obfuscate
bae.st,silence,False,False,,False
beefyboys.win,suspend,False,False,,False
brighteon.social,silence,False,False,,False
chudbuds.lol,silence,False,False,,False
cum.salon,suspend,False,False,,False
eientei.org,suspend,False,False,,False
freeatlantis.com,silence,False,False,,False
freespeechextremist.com,silence,False,False,,False
gameliberty.club,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
kiwifarms.cc,suspend,False,False,,False
mugicha.club,suspend,False,False,,False
nicecrew.digital,suspend,False,False,,False
noagendasocial.com,silence,False,False,,False
pawoo.net,silence,False,False,,False
pieville.net,suspend,False,False,,False
poa.st,silence,False,False,,False
rdrama.cc,suspend,False,False,,False
ryona.agency,suspend,False,False,,False
seal.cafe,suspend,False,False,,False
shitpost.cloud,suspend,False,False,,False
shitposter.club,silence,False,False,,False
spinster.xyz,suspend,False,False,,False
wolfgirl.bar,suspend,False,False,,False
yggdrasil.social,suspend,False,False,,False
