domain,severity,public_comment,reject_media,reject_reports,obfuscate
.tk,suspend,,False,False,False
076.ne.jp,suspend,,False,False,False
101010.pl,suspend,,False,False,False
10min**********.com,suspend,,False,False,False
13bells.com,suspend,,False,False,False
1611.social,suspend,,False,False,False
5dollah.click,suspend,,False,False,False
80percent.social,suspend,,False,False,False
8777.ch,suspend,,False,False,False
abraham.su,suspend,,False,False,False
absturztau.be,suspend,,False,False,False
activism.openworlds.info,suspend,,False,False,False
activitypub.agates.io,suspend,,False,False,False
aethy.com,suspend,,False,False,False
airis.work,suspend,,False,False,False
alteregocreations.com,suspend,,False,False,False
amala.***********t.xyz,suspend,,False,False,False
ancreport.com,suspend,,False,False,False
anemoneya.me,suspend,,False,False,False
angrytoday.com,suspend,,False,False,False
anime.website,suspend,,False,False,False
anon-kenkai.com,suspend,,False,False,False
anthro.cc,suspend,,False,False,False
ap.maladaptive.art,suspend,,False,False,False
arachnid.town,suspend,,False,False,False
arasaka.vip,suspend,,False,False,False
archivefedifor.fun,suspend,,False,False,False
ariona.fr,suspend,,False,False,False
asbestos.cafe,suspend,,False,False,False
asimon.org,suspend,,False,False,False
asphodel.rip,suspend,,False,False,False
aspiechattr.me,suspend,,False,False,False
assortedflotsam.com,suspend,,False,False,False
awoo.fyi,suspend,,False,False,False
ba*.*t,suspend,,False,False,False
babay.icu,suspend,,False,False,False
bajax.us,suspend,,False,False,False
banepo.st,suspend,,False,False,False
bar.arumoon.ru,suspend,,False,False,False
baraag.net,suspend,,False,False,False
bbs.kawa-kun.com,suspend,,False,False,False
beefyboys.win,suspend,,False,False,False
beepboop.ga,suspend,,False,False,False
berserker.town,suspend,,False,False,False
beta.birdsite.live,suspend,,False,False,False
beta.mstdn.cf,suspend,,False,False,False
bikeshed.party,suspend,,False,False,False
bird.evilcyberhacker.net,suspend,,False,False,False
birdbots.leptonics.com,suspend,,False,False,False
birdsite.thorlaksson.com,suspend,,False,False,False
birdsite.wilde.cloud,suspend,,False,False,False
birdsitelive.treffler.cloud,suspend,,False,False,False
bitacadie.com,suspend,,False,False,False
bka.li,suspend,,False,False,False
blacksun.social,suspend,,False,False,False
