domain,severity,reject_media,reject_reports,public_comment,obfuscate
beta.birdsite.live,suspend,False,False,,False
birb.elfenban.de,suspend,False,False,,False
bird.froth.zone,suspend,False,False,,False
birdbridge.autonomy.earth,suspend,False,False,,False
birdsite.jemverse.xyz,suspend,False,False,,False
birdsite.skye.cx,suspend,False,False,,False
brands.town,suspend,False,False,,False
bridge.birb.space,suspend,False,False,,False
bsd.moe,silence,False,False,,False
chaurocks.com,suspend,False,False,,False
cnet.site,suspend,False,False,,False
coom.club,suspend,False,False,,False
cum.desupost.soy,suspend,False,False,,False
daffodil-11.org,suspend,False,False,,False
dlf.social,suspend,False,False,,False
fedi.app,suspend,False,False,,False
feminism.lgbt,suspend,False,False,,False
firebird.mullet.social,suspend,False,False,,False
gab.com,suspend,False,False,,False
getgle.org,suspend,False,False,,False
gitmo.life,suspend,False,False,,False
jaeger.website,suspend,False,False,,False
krdtube.org,silence,False,False,,False
localtunnel.me,suspend,False,False,,False
mastodonhub.com,suspend,False,False,,False
monstergirl.space,suspend,False,False,,False
mstdn.foxfam.club,silence,False,False,,False
ngrok.io,suspend,False,False,,False
ns.auction,suspend,False,False,,False
pleroma.fun,suspend,False,False,,False
pleroma.kitsunemimi.club,suspend,False,False,,False
raplst.town,suspend,False,False,,False
shitpisscum.mooo.com,suspend,False,False,,False
shitposting.army,suspend,False,False,,False
sinblr.com,silence,False,False,,False
social.projectsegfau.lt,suspend,False,False,,False
social.quodverum.com,silence,False,False,,False
solagg.com,suspend,False,False,,False
switter.at,suspend,False,False,,False
toot.love,silence,False,False,,False
twitiverse.com,suspend,False,False,,False
twitter.1d4.us,suspend,False,False,,False
twitter.activitypub.actor,suspend,False,False,,False
twtr.wappie.land,suspend,False,False,,False
wagesofsinisdeath.com,suspend,False,False,,False
waifu.social,suspend,False,False,,False
waifuappreciation.club,suspend,False,False,,False
weedis.life,suspend,False,False,,False
