#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
9yo.punipoka.pink,suspend,TRUE,FALSE,iftas:csam,FALSE
aethy.com,suspend,FALSE,FALSE,iftas:csam,FALSE
bae.st,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
baraag.net,suspend,FALSE,FALSE,iftas:csam,FALSE
beefyboys.win,suspend,FALSE,FALSE,iftas:hate-speech,FALSE
brighteon.social,suspend,FALSE,FALSE,iftas:disinformation,FALSE
cum.camp,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
cum.salon,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment;explicit-content,FALSE
detroitriotcity.com,suspend,FALSE,FALSE,iftas:hate-speech;brigading;online-harassment,FALSE
eientei.org,suspend,FALSE,FALSE,iftas:hate-speech,FALSE
eveningzoo.club,suspend,FALSE,FALSE,iftas:hate-speech;disinformation,FALSE
freecumextremist.com,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment;explicit-content,FALSE
freespeechextremist.com,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment;disinformation,FALSE
gameliberty.club,suspend,FALSE,FALSE,iftas:csam;explicit-content,FALSE
h5q.net,suspend,FALSE,FALSE,iftas:csam,FALSE
imouto.exposed,suspend,FALSE,FALSE,iftas:csam,FALSE
kiwifarms.cc,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
kiwifarms.is,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
neomobius.com,suspend,FALSE,FALSE,iftas:csam,FALSE
nicecrew.digital,suspend,FALSE,FALSE,iftas:hate-speech;brigading;online-harassment,FALSE
obo.sh,suspend,FALSE,FALSE,iftas:csam,FALSE
pawoo.net,suspend,TRUE,FALSE,iftas:csam,FALSE
pieville.net,suspend,FALSE,FALSE,iftas:hate-speech,FALSE
poa.st,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
poast.org,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
poast.tv,suspend,FALSE,FALSE,iftas:tvec,FALSE
poster.place,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
rdrama.cc,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
repl.co,suspend,FALSE,FALSE,iftas:service-abuse;spam,FALSE
ryona.agency,suspend,FALSE,FALSE,iftas:troll;online-harassment,FALSE
shitpost.cloud,suspend,FALSE,FALSE,iftas:hate-speech;online-harassment,FALSE
shitposter.club,suspend,FALSE,FALSE,iftas:hate-speech;explicit-content,FALSE
twi.social,suspend,FALSE,FALSE,iftas:csam,FALSE
varishangout.net,suspend,FALSE,FALSE,iftas:csam;hate-speech;online-harassment,FALSE
yggdrasil.social,suspend,FALSE,FALSE,iftas:hate-speech,FALSE
