domain,severity,public_comment,reject_media,reject_reports,obfuscate
101010.pl,suspend,,True,True,False
10minutepleroma.com,suspend,,True,True,False
2ndamendment.social,suspend,,True,True,False
activitypub-troll.cf,suspend,,True,True,False
animalliberation.social,suspend,,True,True,False
anime.website,suspend,,True,True,False
aria.company,suspend,,True,True,False
bae.st,suspend,,True,True,False
baraag.net,suspend,,True,True,False
beefyboys.win,suspend,,True,True,False
berserker.town,suspend,,True,True,False
bikeshed.party,suspend,,True,True,False
bitcoinhackers.org,suspend,,True,True,False
bodybuilding.im,suspend,,True,True,False
boyter.org,suspend,,True,True,False
brighteon.social,suspend,,True,True,False
bsd.moe,suspend,,True,True,False
carrot.army,suspend,,True,True,False
catgirl.life,suspend,,True,True,False
cawfee.club,suspend,,True,True,False
chudbuds.lol,suspend,,True,True,False
civiq.social,suspend,,True,True,False
cliterati.club,suspend,,True,True,False
crypto-group-buy.com,suspend,,True,True,False
cryptotalks.social,suspend,,True,True,False
cum.salon,suspend,,True,True,False
d-fens.systems,suspend,,True,True,False
degenerates.fail,suspend,,True,True,False
detroitriotcity.com,suspend,,True,True,False
develop.gab.com,suspend,,True,True,False
disqordia.space,suspend,,True,True,False
djitter.com,suspend,,True,True,False
durst.world,suspend,,True,True,False
eientei.org,suspend,,True,True,False
eveningzoo.club,suspend,,True,True,False
exited.eu,suspend,,True,True,False
fedi.intkos.link,suspend,,True,True,False
fedi.pawlicker.com,suspend,,True,True,False
fedichive.tk,suspend,,True,True,False
fr13nd5.com,suspend,,True,True,False
freeatlantis.com,suspend,,True,True,False
freecumextremist.com,suspend,,True,True,False
freefedifollowers.ga,suspend,,True,True,False
freespeech.firedragonstudios.com,suspend,,True,True,False
freespeechextremist.com,suspend,,True,True,False
freezepeach.xyz,suspend,,True,True,False
gab.ai,suspend,,True,True,False
gab.com,suspend,,True,True,False
gab.io,suspend,,True,True,False
gab.polaris-1.work,suspend,,True,True,False
gab.protohype.net,suspend,,True,True,False
gab.sleeck.eu,suspend,,True,True,False
gabble.xyz,suspend,,True,True,False
gabfed.com,suspend,,True,True,False
gameliberty.club,suspend,,True,True,False
gangstalking.services,suspend,,True,True,False
gasthe.lgbt,suspend,,True,True,False
gearlandia.haus,suspend,,True,True,False
gendercritical.club,suspend,,True,True,False
gendercritical.space,suspend,,True,True,False
genderheretics.xyz,suspend,,True,True,False
geofront.rocks,suspend,,True,True,False
gitmo.life,suspend,,True,True,False
gleasonator.com,suspend,,True,True,False
glindr.org,suspend,,True,True,False
glowers.club,suspend,,True,True,False
gorf.club,suspend,,True,True,False
gs.smuglo.li,suspend,,True,True,False
hentai.baby,suspend,,True,True,False
home.social,noop,,False,False,False
honkwerx.tech,suspend,,True,True,False
humblr.social,suspend,,True,True,False
hunk.city,suspend,,True,True,False
husk.site,suspend,,True,True,False
iddqd.social,suspend,,True,True,False
jaeger.website,suspend,,True,True,False
journa.host,suspend,,True,True,False
kazvam.com,suspend,,True,True,False
kiwifarms.cc,suspend,,True,True,False
kiwifarms.is,suspend,,True,True,False
kiwifarms.net,suspend,,True,True,False
koyu.space,suspend,,True,True,False
leafposter.club,suspend,,True,True,False
letsalllovela.in,noop,,False,False,False
liberdon.com,suspend,,True,True,False
libertarianism.club,suspend,,True,True,False
ligma.pro,suspend,,True,True,False
loli.estate,suspend,,True,True,False
lolis.world,suspend,,True,True,False
masochi.st,suspend,,True,True,False
mastinator.com,suspend,,True,True,False
mastodon.se,suspend,,True,True,False
mastodonapp.uk,suspend,,True,True,False
milker.cafe,suspend,,True,True,False
misskey-forkbomb.cf,suspend,,True,True,False
mstdn.foxfam.club,suspend,,True,True,False
mstdn.id,suspend,,True,True,False
mugicha.club,suspend,,True,True,False
nazi.social,suspend,,True,True,False
neckbeard.xyz,suspend,,True,True,False
newjack.city,suspend,,True,True,False
nicecrew.digital,suspend,,True,True,False
nnia.space,suspend,,True,True,False
noagendasocial.com,suspend,,True,True,False
novoa.nagoya,suspend,,True,True,False
npf.mlpol.net,suspend,,True,True,False
pawoo.net,suspend,,True,True,False
paypig.org,suspend,,True,True,False
pedo.school,suspend,,True,True,False
pieville.net,suspend,,True,True,False
pl.anon-kenkai.com,suspend,,True,True,False
pl.smuglo.li,suspend,,True,True,False
pleroma.kiwifarms.net,suspend,,True,True,False
pleroma.nobodyhasthe.biz,suspend,,True,True,False
pleroma.rareome.ga,suspend,,True,True,False
plma.plus.st,suspend,,True,True,False
poa.st,suspend,,True,True,False
pooper.social,suspend,,True,True,False
posting.lolicon.rocks,suspend,,True,True,False
preteengirls.biz,suspend,,True,True,False
privex.social,suspend,,True,True,False
qoto.org,suspend,,True,True,False
rainbowdash.net,suspend,,True,True,False
rakket.app,suspend,,True,True,False
rapefeminists.network,suspend,,True,True,False
raplst.town,suspend,,True,True,False
rdrama.cc,suspend,,True,True,False
rdrama.net,suspend,,True,True,False
repl.co,suspend,,True,True,False
ryona.agency,suspend,,True,True,False
scots.network,suspend,,True,True,False
seal.cafe,suspend,,True,True,False
sealion.club,suspend,,True,True,False
search.fedi.app,suspend,,True,True,False
shitposter.club,suspend,,True,True,False
shortstackran.ch,suspend,,True,True,False
sinblr.com,suspend,,True,True,False
skippers-bin.com,suspend,,True,True,False
sleepy.cafe,suspend,,True,True,False
smuglo.li,suspend,,True,True,False
sneak.berlin,suspend,,True,True,False
sneed.social,suspend,,True,True,False
social.076.ne.jp,suspend,,True,True,False
social.au2pb.net,suspend,,True,True,False
social.foxfam.club,suspend,,True,True,False
social.heldscal.la,suspend,,True,True,False
social.lovingexpressions.net,suspend,,True,True,False
social.quodverum.com,suspend,,True,True,False
socnet.supes.com,suspend,,True,True,False
solagg.com,suspend,,True,True,False
sperg.city,suspend,,True,True,False
spinster.xyz,suspend,,True,True,False
starnix.network,suspend,,True,True,False
take.iteasy.club,suspend,,True,True,False
tastingtraffic.net,suspend,,True,True,False
tkammer.de,suspend,,True,True,False
toot.love,suspend,,True,True,False
truthsocial.co.in,suspend,,True,True,False
truthsocial.com,suspend,,True,True,False
twtr.plus,suspend,,True,True,False
unsafe.space,suspend,,True,True,False
varishangout.net,suspend,,True,True,False
wagesofsinisdeath.com,suspend,,True,True,False
weedis.life,suspend,,True,True,False
wrongthink.net,suspend,,True,True,False
yggdrasil.social,suspend,,True,True,False
youjo.love,suspend,,True,True,False
zztails.gay,suspend,,True,True,False
