#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
9kb.me,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
abyss.fun,silence,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
aud.invalid,suspend,FALSE,FALSE,iftas:canary,TRUE
channels.im,suspend,FALSE,FALSE,iftas:spam;farming,TRUE
chinanews.social,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
circus.town,silence,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
compassion.host,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
danonidon.azarakko.net,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
electroverse.tech,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
elonsucks.org,suspend,FALSE,FALSE,iftas:explicit-content;spam,TRUE
floof.link,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
formosa.aspa.idv.tw,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
gs.leftic.club,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
i.cancn.com,suspend,FALSE,FALSE,iftas:spam,TRUE
liberdon.com,silence,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
m.pupu.moe,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
mast.qixto.com,suspend,FALSE,FALSE,iftas:spam,TRUE
mstdn.beer,silence,FALSE,FALSE,iftas:spam,TRUE
mstdn.gunma.jp,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
newsbeep.org,suspend,FALSE,FALSE,iftas:spam;farming,TRUE
pravda.me,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
pubeurope.com,suspend,FALSE,FALSE,iftas:spam;farming,TRUE
rassilni.com,suspend,FALSE,FALSE,iftas:hate-speech;spam,TRUE
silverbay.space,suspend,FALSE,FALSE,iftas:impersonation;disinformation;spam,TRUE
social.freysa.ai,suspend,FALSE,FALSE,iftas:spam;cib,TRUE
social.tsst.net,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
technodon.org,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
theater.im,suspend,FALSE,FALSE,iftas:spam;farming,TRUE
todon.ploud.fr,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
truthsocial.co.in,suspend,FALSE,FALSE,iftas:disinformation;spam,TRUE
unipar.online,suspend,FALSE,FALSE,iftas:disinformation;spam,TRUE
vive.im,silence,FALSE,FALSE,iftas:spam;farming,TRUE
vonhaller.social,suspend,FALSE,FALSE,iftas:disinformation;cib;spam,TRUE
