domain,severity,reject_media,reject_reports,public_comment,obfuscate
5dollah.click,suspend,False,False,Hate speech,False
activitypub-proxy.cf,suspend,False,False,Spam,False
activitypub-troll.cf,suspend,False,False,Spam,False
activitypub.awakari.com,silence,False,False,Spam,False
aethy.com,suspend,False,False,Inappropriate content,False
anime.website,suspend,False,False,Inappropriate content,False
annihilation.social,suspend,False,False,Hate speech,False
asbestos.cafe,suspend,False,False,Hate speech,False
ati**.***ss,suspend,False,False,Inappropriate content,False
bae.st,suspend,False,False,Inappropriate content,False
baraag.net,suspend,False,False,,False
beefyboys.club,suspend,False,False,Hate speech,False
beefyboys.win,suspend,False,False,Hate speech,False
beta.birdsite.live,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,Third-party bots,False
bgzashtita.es,silence,False,False,Misinformation,False
birb.elfenban.de,suspend,False,False,Third-party bots,False
birb.redra1n.net,suspend,False,False,Third-party bots,False
birb.stream,suspend,False,False,Third-party bots,False
bird.evilcyberhacker.net,suspend,False,False,Third-party bots,False
bird.froth.zone,suspend,False,False,Third-party bots,False
bird.makeup,suspend,False,False,Third-party bots,False
birdbots.leptonics.com,suspend,False,False,Third-party bots,False
birdlive.grupotd.nat.cu,suspend,False,False,Third party bots,False
birdmakeup.sboulema.nl,suspend,False,False,Third-party bots,False
birdsite.am-institute.swiss,suspend,False,False,Third-party bots,False
birdsite.blazelight.dev,suspend,False,False,Third-party bots,False
birdsite.frog.fashion,suspend,False,False,Third-party bots,False
birdsite.james.moody.name,suspend,False,False,Third-party bots,False
birdsite.lakedrops.com,suspend,False,False,Third-party bots,False
birdsite.platypush.tech,suspend,False,False,Third-party bots,False
birdsite.seejy.ninja,suspend,False,False,Third-party bots,False
birdsite.tcjc.uk,suspend,False,False,Third-party bots,False
birdsite.thorlaksson.com,suspend,False,False,Third-party bots,False
birdsite.weiranzhang.com,suspend,False,False,Third-party bots,False
birdsite.wilde.cloud,suspend,False,False,Third-party bots,False
birdsitelive.falschgold.net,suspend,False,False,Third-party bots,False
birdsitelive.kevinyank.com,suspend,False,False,Third-party bots,False
birdsitelive.samedwards.ca,suspend,False,False,Third-party bots,False
birdsitelive.treffler.cloud,suspend,False,False,Third-party bots,False
bmu.1a23.studio,suspend,False,False,Third-party bots,False
brands.town,suspend,False,False,Spam,False
breastmilk.club,suspend,False,False,Hate speech,False
bridge.yopp.me,suspend,False,False,Third-party bots,False
brighteon.social,silence,False,False,Misinformation and conspiracy theories,False
bur****.*oe,suspend,False,False,Inappropriate content,False
cachapa.xyz,suspend,False,False,Hate speech,False
cann****.*afe,suspend,False,False,Inappropriate content,False
cass****.**use,suspend,False,False,Inappropriate content,False
catgirl.life,suspend,False,False,Inappropriate content,False
chil*****.**ace,suspend,False,False,Inappropriate content,False
chil*****.*hop,suspend,False,False,Inappropriate content,False
chil*****.su,suspend,False,False,Inappropriate content,False
chil*****.top,suspend,False,False,Inappropriate content,False
chudbuds.lol,suspend,False,False,Hate speech,False
clew.lol,suspend,False,False,Hate speech,False
clown.******sity,suspend,False,False,Inappropriate content,False
clubcyberia.co,suspend,False,False,Hate speech,False
comfyboy.club,suspend,False,False,Hate speech,False
cotto******.cafe,suspend,False,False,Inappropriate content,False
cum.salon,suspend,False,False,Hate speech,False
cun****.cc,suspend,False,False,Inappropriate content,False
cunn******.top,suspend,False,False,Inappropriate content,False
cunny*****.*pace,suspend,False,False,Inappropriate content,False
daji******.com,suspend,False,False,Inappropriate content,False
decayable.ink,suspend,False,False,Hate speech,False
deepspace.cafe,suspend,False,False,Harassment,False
deepw*********.net,suspend,False,False,Inappropriate content,False
degen******.fail,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,Hate speech,False
dlf.social,suspend,False,False,-,False
eepy.****ess,suspend,False,False,Inappropriate content,False
eveningzoo.club,suspend,False,False,Hate speech,False
fr13nd5.com,silence,False,False,Misinformation,False
freak.******sity,suspend,False,False,Inappropriate content,False
freeatlantis.com,suspend,False,False,Hate speech,False
freecumextremist.com,suspend,False,False,Hate speech,False
freespeech.club,suspend,False,False,Hate speech,False
freespeechextremist.com,suspend,False,False,Hate speech,False
fsebugoutzone.org,suspend,False,False,Hate speech,False
gab.ai,suspend,False,False,Hate speech,False
gab.com,suspend,False,False,Hate speech,False
gameliberty.club,suspend,False,False,Hate speech,False
gearlandia.haus,suspend,False,False,Hate speech,False
genderheretics.xyz,suspend,False,False,Transphobia,False
getgle.org,suspend,False,False,Hate speech,False
ghet**.****ter,suspend,False,False,Inappropriate content,False
