domain,severity,reject_media,reject_reports,public_comment,obfuscate
10minutepleroma.com,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
a.sc,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
aethy.com,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
ap.***.st,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
ati**.***ss,suspend,False,False,,False
bae.st,suspend,False,False,,False
bar***.*et,suspend,False,False,,False
beef*****.*lub,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
best****.fun,suspend,False,False,,False
beta.birdsite.live,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,,False
bgzashtita.es,silence,False,False,,False
birb.elfenban.de,suspend,False,False,,False
birb.redra1n.net,suspend,False,False,,False
birb.stream,suspend,False,False,,False
bird.evilcyberhacker.net,suspend,False,False,,False
bird.froth.zone,suspend,False,False,,False
bird.im-in.space,suspend,False,False,,False
bird.istheguy.com,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
bird.r669.live,suspend,False,False,,False
birdbots.leptonics.com,suspend,False,False,,False
birdbridge.autonomy.earth,suspend,False,False,,False
birdlive.grupotd.nat.cu,suspend,False,False,,False
birdmakeup.opiumpost.org,suspend,False,False,,False
birdsite.am-institute.swiss,suspend,False,False,,False
birdsite.b93.dece.space,suspend,False,False,,False
birdsite.blazelight.dev,suspend,False,False,,False
birdsite.cloutier.co,suspend,False,False,,False
birdsite.darkesttimeline.social,suspend,False,False,,False
birdsite.frog.fashion,suspend,False,False,,False
birdsite.gabeappleton.me,suspend,False,False,,False
birdsite.gred.al,suspend,False,False,,False
birdsite.james.moody.name,suspend,False,False,,False
birdsite.jemverse.xyz,suspend,False,False,,False
birdsite.kaijauch.de,suspend,False,False,,False
birdsite.link,suspend,False,False,,False
birdsite.mastodon.me.uk,suspend,False,False,,False
birdsite.miisu.net,suspend,False,False,,False
birdsite.monster,suspend,False,False,,False
birdsite.nytpu.com,suspend,False,False,,False
birdsite.oliviaappleton.com,suspend,False,False,,False
birdsite.platypush.tech,suspend,False,False,,False
birdsite.skye.cx,suspend,False,False,,False
birdsite.slashdev.space,suspend,False,False,,False
birdsite.spectreos.de,suspend,False,False,,False
birdsite.tcjc.uk,suspend,False,False,,False
birdsite.thorlaksson.com,suspend,False,False,,False
birdsite.toot.si,suspend,False,False,,False
birdsite.vrparty.social,suspend,False,False,,False
birdsite.weiranzhang.com,suspend,False,False,,False
birdsite.wilde.cloud,suspend,False,False,,False
