#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.ne.jp,suspend,false,false,,false
0x68756773.moe,suspend,false,false,,false
101010.pl,suspend,false,false,,false
10minutepleroma.com,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
1745.info,suspend,false,false,,false
1being.org,suspend,false,false,,false
4aem.com,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
80percent.social,suspend,false,false,,false
8777.ch,suspend,false,false,,false
9tail.net,suspend,false,false,,false
a.sc,suspend,false,false,,false
aaoth.xyz,suspend,false,false,,false
abdulocra.cy,suspend,false,false,,false
ableppo.net,suspend,false,false,,false
abraham.su,suspend,false,false,,false
absturztau.be,suspend,false,false,,false
activitypub.agates.io,suspend,false,false,,false
adachi.party,suspend,false,false,,false
adamasnemesis.com,suspend,false,false,,false
addy.gg,suspend,false,false,,false
adhd.stream,suspend,false,false,,false
aethy.com,suspend,false,false,,false
agates.io,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
airen-no-jikken.icu,suspend,false,false,,false
airis.dev,suspend,false,false,,false
airis.work,suspend,false,false,,false
ajin.la,suspend,false,false,,false
alpaca.gold,suspend,false,false,,false
alteregocreations.com,suspend,false,false,,false
amala.schwartzwelt.xyz,suspend,false,false,,false
an.exchange,suspend,false,false,,false
anarch.cc,suspend,false,false,,false
ancreport.com,suspend,false,false,,false
anemoneya.me,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
anime.website,suspend,false,false,,false
animesexual.community,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
anqou.net,suspend,false,false,,false
anthro.cc,suspend,false,false,,false
anticom.world,suspend,false,false,,false
apathy.tv,suspend,false,false,,false
apcn.nz,suspend,false,false,,false
applied-langua.ge,suspend,false,false,,false
arachnid.town,suspend,false,false,,false
arasaka.vip,suspend,false,false,,false
archivefedifor.fun,suspend,false,false,,false
ariona.fr,suspend,false,false,,false
artalley.masto.host,suspend,false,false,,false
arthaus.social,silence,false,false,,false
arumoon.ru,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
asimon.org,suspend,false,false,,false
asphodel.rip,suspend,false,false,,false
aspiechattr.me,suspend,false,false,,false
assortedflotsam.com,suspend,false,false,,false
asteroidm.space,suspend,false,false,,false
atyh.cc,suspend,false,false,,false
autistics.life,suspend,false,false,,false
avery.garden,suspend,false,false,,false
awoo.fyi,suspend,false,false,,false
awootism.club,suspend,false,false,,false
azaleth.xyz,suspend,false,false,,false
b10m.net,suspend,false,false,,false
babay.icu,suspend,false,false,,false
babyfurs.social,suspend,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
bajax.us,suspend,false,false,,false
banepo.st,suspend,false,false,,false
bar.arumoon.ru,suspend,false,false,,false
baraag.net,suspend,false,false,,false
bassam.social,suspend,false,false,,false
bbad.com,suspend,false,false,,false
bbs.kawa-kun.com,suspend,false,false,,false
bbw.network,suspend,false,false,,false
bcicorporate.com,suspend,false,false,,false
beagle.casa,suspend,false,false,,false
beef.moe,suspend,false,false,,false
beefyboys.club,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
beepboop.ga,suspend,false,false,,false
berserker.town,suspend,false,false,,false
beta.birdsite.live,suspend,false,false,,false
beta.mstdn.cf,suspend,false,false,,false
bgzashtita.es,suspend,false,false,,false
bibly.com,suspend,false,false,,false
biendeo.com,suspend,false,false,,false
bigzu.cc,suspend,false,false,,false
bikeshed.party,suspend,false,false,,false
binarydad.com,suspend,false,false,,false
birb.stream,silence,false,false,,false
bird.evilcyberhacker.net,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
birdbots.leptonics.com,suspend,false,false,,false
birdity.club,suspend,false,false,,false
birds.garden,suspend,false,false,,false
birdsite.frog.fashion,suspend,false,false,,false
birdsite.live,suspend,false,false,,false
birdsite.thorlaksson.com,suspend,false,false,,false
birdsite.wilde.cloud,suspend,false,false,,false
birdsitelive.treffler.cloud,suspend,false,false,,false
bitacadie.com,suspend,false,false,,false
bitcoinlizard.net,suspend,false,false,,false
bitcointv.com,suspend,false,false,,false
bka.li,suspend,false,false,,false
blackstar.cafe,suspend,false,false,,false
blacksun.social,suspend,false,false,,false
blazelight.dev,silence,false,false,,false
blazingopen.space,suspend,false,false,,false
blimps.xyz,suspend,false,false,,false
blob.cat,suspend,false,false,,false
blockedur.mom,suspend,false,false,,false
bnnuy.space,suspend,false,false,,false
boingo00.wtf,suspend,false,false,,false
boks.moe,suspend,false,false,,false
boles.xyz,suspend,false,false,,false
borg.social,suspend,false,false,,false
botsin.space,silence,false,false,,false
boymoder.biz,suspend,false,false,,false
bozgor.org,suspend,false,false,,false
brainsoap.net,suspend,false,false,,false
brapbarn.farm,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
brotka.st,suspend,false,false,,false
bruh.homd.xyz,suspend,false,false,,false
bruh.social,suspend,false,false,,false
bsl.sid500.com,suspend,false,false,,false
btrf.ly,suspend,false,false,,false
btrfly.social,suspend,false,false,,false
bubbletea.dev,suspend,false,false,,false
bungle.online,suspend,false,false,,false
bunny.cafe,suspend,false,false,,false
bunnyanarchy.org,suspend,false,false,,false
burger.rodeo,suspend,false,false,,false
bussy.monster,suspend,false,false,,false
bylines.social,suspend,false,false,,false
cachapa.moe,suspend,false,false,,false
cachapa.xyz,suspend,false,false,,false
cafkafk.com,suspend,false,false,,false
calders.us,suspend,false,false,,false
calobar.club,suspend,false,false,,false
campduffel.social,suspend,false,false,,false
capystan.net,suspend,false,false,,false
carnivore.social,suspend,false,false,,false
catgirl.is,suspend,false,false,,false
catgirl.life,suspend,false,false,,false
catposter.club,suspend,false,false,,false
catswords.social,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
cd0.nl,suspend,false,false,,false
cdrom.tokyo,suspend,false,false,,false
chamba.social,suspend,false,false,,false
chaoyu.us,suspend,false,false,,false
charade.social,suspend,false,false,,false
chatbox.social,suspend,false,false,,false
chaunchy.com,suspend,false,false,,false
cheeseburger.social,suspend,false,false,,false
cheeseland.xyz,suspend,false,false,,false
childpawn.shop,suspend,false,false,,false
chir.rs,suspend,false,false,,false
chocoflan.net,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
chudbuds.org,suspend,false,false,,false
cipay.ca,suspend,false,false,,false
cizmar.net,suspend,false,false,,false
ck.treasuredgem.xyz,suspend,false,false,,false
ckpg.space,suspend,false,false,,false
clew.lol,suspend,false,false,,false
clq.im,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
clyez.city,suspend,false,false,,false
cobblestone.rocks,suspend,false,false,,false
cocaine.moe,suspend,false,false,,false
cock.li,suspend,false,false,,false
codingneko.com,suspend,false,false,,false
coinfundit.com,suspend,false,false,,false
collapse.pub,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
com.tr,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
comfysnug.space,suspend,false,false,,false
communick.com,suspend,false,false,,false
comorichico.com,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
coolsite.win,suspend,false,false,,false
corrigan.moe,suspend,false,false,,false
cosmicfir.es,suspend,false,false,,false
crid.land,suspend,false,false,,false
criminallycute.fi,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
crowleyclub.com,suspend,false,false,,false
crucible.world,suspend,false,false,,false
cryptoschizo.club,suspend,false,false,,false
cryptotalks.social,suspend,false,false,,false
cryptotooter.com,suspend,false,false,,false
csdisaster.club,suspend,false,false,,false
cubhub.social,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cunny.gay,suspend,false,false,,false
curiouscabbit.social,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cybercuties.net,suspend,false,false,,false
cyberdruids.club,suspend,false,false,,false
cyberretards.xyz,suspend,false,false,,false
cyberspace.netrunner.cfd,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
cybre.city,suspend,false,false,,false
cybre.club,suspend,false,false,,false
cybrkyd.com,suspend,false,false,,false
cyuucat.moe,suspend,false,false,,false
d-fens.systems,suspend,false,false,,false
danksquad.org,suspend,false,false,,false
danksquad.xyz,suspend,false,false,,false
danrees.me,suspend,false,false,,false
dark-alexandr.net,suspend,false,false,,false
darknight-coffee.org,suspend,false,false,,false
daspr.io,suspend,false,false,,false
dcomm.net.ua,silence,false,false,,false
dd0s.lol,suspend,false,false,,false
ddns.net,suspend,false,false,,false
ddnss.de,suspend,false,false,,false
deadreckoning.cc,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
decept.org,suspend,false,false,,false
declin.eu,suspend,false,false,,false
dembased.xyz,suspend,false,false,,false
den.den.nohost.me,suspend,false,false,,false
denden.world,suspend,false,false,,false
derveni.org,suspend,false,false,,false
descentraliza.me,suspend,false,false,,false
desupost.soy,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
devolver.social,suspend,false,false,,false
dhslammer.com,suspend,false,false,,false
diamondelizaa.com,suspend,false,false,,false
dickkickextremist.xyz,suspend,false,false,,false
digitalmarketer.social,suspend,false,false,,false
dindon.one,suspend,false,false,,false
dingdash.com,suspend,false,false,,false
dirtyhobby.xyz,suspend,false,false,,false
disqordia.space,suspend,false,false,,false
dissident.business,suspend,false,false,,false
dixies.land,suspend,false,false,,false
djsumdog.com,suspend,false,false,,false
dline.xyz,suspend,false,false,,false
dmgd.monster,suspend,false,false,,false
dobbs.town,suspend,false,false,,false
doctors4covidethics.org,suspend,false,false,,false
doesnm.cc,suspend,false,false,,false
doesnotexist.club,silence,false,false,,false
dogsex.org,suspend,false,false,,false
doingyourmom.club,suspend,false,false,,false
dolphin-emu.org,suspend,false,false,,false
donotsta.re,suspend,false,false,,false
dotsod.com,suspend,false,false,,false
dragon.ooo,suspend,false,false,,false
dragonborn.app,suspend,false,false,,false
dragoncave.dev,suspend,false,false,,false
dragonchat.org,suspend,false,false,,false
drastical.tech,suspend,false,false,,false
drow.be,suspend,false,false,,false
dsocialize.net,suspend,false,false,,false
dtzbts.xyz,suspend,false,false,,false
duckdns.org,suspend,false,false,,false
duti.tech,suspend,false,false,,false
duwa.ng,suspend,false,false,,false
dynu.net,suspend,false,false,,false
eaku.net,suspend,false,false,,false
earfolds.com,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
ebin.club,suspend,false,false,,false
ebin.zone,suspend,false,false,,false
eble.name,suspend,false,false,,false
echelon.pl,suspend,false,false,,false
eeeeeeeee.eu,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eightpoint.app,silence,false,false,,false
eipystyilman.beer,suspend,false,false,,false
el-spot.xyz,suspend,false,false,,false
eldritch.cafe,silence,false,false,,false
elekk.xyz,silence,false,false,,false
elementality.org,suspend,false,false,,false
elonsucks.org,silence,false,false,,false
emacs.ch,suspend,false,false,,false
emmadorable.com,suspend,false,false,,false
encipher.in,suspend,false,false,,false
endhill.masto.host,suspend,false,false,,false
endtimebelievers.com,suspend,false,false,,false
enes.lv,suspend,false,false,,false
enj0y.net,suspend,false,false,,false
enjoyer.network,suspend,false,false,,false
epenguin.com,suspend,false,false,,false
epic.meme.moe,suspend,false,false,,false
esmailelbob.xyz,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
evilcyberhacker.net,silence,false,false,,false
expired.mentality.rip,suspend,false,false,,false
exploding-heads.com,suspend,false,false,,false
explosion.party,suspend,false,false,,false
expression.social,suspend,false,false,,false
f.haeder.net,suspend,false,false,,false
fai.st,suspend,false,false,,false
fandom.community,suspend,false,false,,false
fans.sonichu.com,suspend,false,false,,false
fapsi.be,suspend,false,false,,false
fbievan.live,suspend,false,false,,false
fbxl.net,suspend,false,false,,false
federated.fun,suspend,false,false,,false
