#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
ams3-03.smarterliving.nl,suspend,false,false,birdsitelive/bot,false
b.booots.tech,suspend,false,false,birdsitelive/bot,false
bearbirdsite.sicem.social,suspend,false,false,birdsitelive/bot,false
beta.mstdn.cf,suspend,false,false,birdsitelive/bot,false
birb.byte.wtf,suspend,false,false,birdsitelive/bot,false
birb.redra1n.net,suspend,false,false,birdsitelive/bot,false
birb.stream,suspend,false,false,birdsitelive/bot,false
birbber.hotfemboy.pics,suspend,false,false,birdsitelive/bot,false
bird.chauvet.pro,suspend,false,false,birdsitelive/bot,false
bird.docmeth02.host,suspend,false,false,birdsitelive/bot,false
bird.evilcyberhacker.net,suspend,false,false,birdsitelive/bot,false
bird.geiger.ee,suspend,false,false,birdsitelive/bot,false
bird.gensokyo.info,suspend,false,false,birdsitelive/bot,false
bird.granford.uk,suspend,false,false,birdsitelive/bot,false
bird.hock.one,suspend,false,false,birdsitelive/bot,false
bird.im-in.space,suspend,false,false,birdsitelive/bot,false
bird.istheguy.com,suspend,false,false,birdsitelive/bot,false
bird.karatek.net,suspend,false,false,birdsitelive/bot,false
bird.kuendig.io,suspend,false,false,birdsitelive/bot,false
bird.lummerland.ddnss.de,suspend,false,false,birdsitelive/bot,false
bird.makeup,suspend,false,false,birdsitelive/bot,false
birdmakeup.opiumpost.org,suspend,false,false,birdmakeup/bot,false
bird.r669.live,suspend,false,false,birdsitelive/bot,false
bird.seafoam.space,suspend,false,false,birdsitelive/bot,false
bird.shitposted.today,suspend,false,false,birdsitelive/bot,false
bird.tracto.pl,suspend,false,false,birdsitelive/bot,false
bird.waffles.fun,suspend,false,false,birdsitelive/bot,false
bird.xtra.nu,suspend,false,false,birdsitelive/bot,false
bird.zerojay.com,suspend,false,false,birdsitelive/bot,false
bird.zvo.io,suspend,false,false,birdsitelive/bot,false
birdbots.leptonics.com,suspend,false,false,birdsitelive/bot,false
birdlive.grupotd.nat.cu,suspend,false,false,birdsitelive/bot,false
birdsite.am-institute.swiss,suspend,false,false,birdsitelive/bot,false
birdsite.archybold.com,suspend,false,false,birdsitelive/bot,false
birdsite.axeleroy.com,suspend,false,false,birdsitelive/bot,false
birdsite.b93.dece.space,suspend,false,false,birdsitelive/bot,false
birdsite.blahaj.social,suspend,false,false,birdsitelive/bot,false
birdsite.blazelight.dev,suspend,false,false,birdsitelive/bot,false
birdsite.cbruegg.com,suspend,false,false,birdsitelive/bot,false
birdsite.centennial.root.sx,suspend,false,false,birdsitelive/bot,false
birdsite.cloutier.co,suspend,false,false,birdsitelive/bot,false
birdsitelive.codingneko.com,suspend,false,false,birdsitelive/bot,false
birdsite.csachweh.de,suspend,false,false,birdsitelive/bot,false
birdsite.darkesttimeline.social,suspend,false,false,birdsitelive/bot,false
birdsite.datboi.network,suspend,false,false,birdsitelive/bot,false
birdsite.davinkevin.fr,suspend,false,false,birdsitelive/bot,false
birdsite.falkensweb.com,suspend,false,false,birdsitelive/bot,false
birdsite.felixmueller.cloud,suspend,false,false,birdsitelive/bot,false
birdsite.frog.fashion,suspend,false,false,birdsitelive/bot,false
birdsite.gabeappleton.me,suspend,false,false,birdsitelive/bot,false
birdsite.gnyo.org,suspend,false,false,birdsitelive/bot,false
birdsite.gred.al,suspend,false,false,birdsitelive/bot,false
birdsite.gxvwb.dev,suspend,false,false,birdsitelive/bot,false
birdsite.hexix.de,suspend,false,false,birdsitelive/bot,false
birdsite.hwarf.com,suspend,false,false,birdsitelive/bot,false
birdsite.ingwie.me,suspend,false,false,birdsitelive/bot,false
birdsite.intra.kaijauch.de,suspend,false,false,birdsitelive/bot,false
birdsite.james.moody.name,suspend,false,false,birdsitelive/bot,false
birdsite.jupiterslanding.social,suspend,false,false,birdsitelive/bot,false
birdsite.jvpiter.net,suspend,false,false,birdsitelive/bot,false
birdsite.k-fortytwo.de,suspend,false,false,birdsitelive/bot,false
birdsite.kaijauch.de,suspend,false,false,birdsitelive/bot,false
birdsite.kohl.dev,suspend,false,false,birdsitelive/bot,false
birdsite.koyu.space,suspend,false,false,birdsitelive/bot,false
birdsite.lakedrops.com,suspend,false,false,birdsitelive/bot,false
birdsite.link,suspend,false,false,birdsitelive/bot,false
birdsite.lipsia.casa,suspend,false,false,birdsitelive/bot,false
birdsite.live,suspend,false,false,birdsitelive/bot,false
birdsite.lluni.de,suspend,false,false,birdsitelive/bot,false
birdsite.marschik.me,suspend,false,false,birdsitelive/bot,false
birdsite.mastodon.land,suspend,false,false,birdsitelive/bot,false
birdsite.mastodon.me.uk,suspend,false,false,birdsitelive/bot,false
birdsite.miisu.net,suspend,false,false,birdsitelive/bot,false
birdsite.monster,suspend,false,false,birdsitelive/bot,false
birdsite.nickurak.ca,suspend,false,false,birdsitelive/bot,false
birdsite.noitl.space,suspend,false,false,birdsitelive/bot,false
birdsite.nytpu.com,suspend,false,false,birdsitelive/bot,false
birdsite.oliviaappleton.com,suspend,false,false,birdsitelive/bot,false
birdsite.otmns.net,suspend,false,false,birdsitelive/bot,false
birdsite.outadoc.fr,suspend,false,false,birdsitelive/bot,false
birdsite.platypush.tech,suspend,false,false,birdsitelive/bot,false
birdsite.rap.social,suspend,false,false,birdsitelive/bot,false
birdsite.schafscheiss.com,suspend,false,false,birdsitelive/bot,false
birdsite.seejy.ninja,suspend,false,false,birdsitelive/bot,false
birdsite.slashdev.space,suspend,false,false,birdsitelive/bot,false
birdsite.spectreos.de,suspend,false,false,birdsitelive/bot,false
birdsite.tableflip.zone,suspend,false,false,birdsitelive/bot,false
birdsite.tcjc.uk,suspend,false,false,birdsitelive/bot,false
birdsite.tedandrachel.com,suspend,false,false,birdsitelive/bot,false
birdsite.thorlaksson.com,suspend,false,false,birdsitelive/bot,false
birdsite.toot.si,suspend,false,false,birdsitelive/bot,false
birdsite.vish.link,suspend,false,false,birdsitelive/bot,false
birdsite.vrparty.social,suspend,false,false,birdsitelive/bot,false
birdsite.weiranzhang.com,suspend,false,false,birdsitelive/bot,false
birdsite.wilde.cloud,suspend,false,false,birdsitelive/bot,false
birdsitelive.angrydome.au,suspend,false,false,birdsitelive/bot,false
birdsitelive.baguette-it.social,suspend,false,false,birdsitelive/bot,false
birdsitelive.bubbletea.dev,suspend,false,false,birdsitelive/bot,false
birdsitelive.chatty.monster,suspend,false,false,birdsitelive/bot,false
birdsitelive.falschgold.net,suspend,false,false,birdsitelive/bot,false
birdsitelive.ffvo.dev,suspend,false,false,birdsitelive/bot,false
birdsitelive.janngobble.synology.me,suspend,false,false,birdsitelive/bot,false
birdsitelive.kevinyank.com,suspend,false,false,birdsitelive/bot,false
birdsitelive.laski.app,suspend,false,false,birdsitelive/bot,false
birdsitelive.leonardwong.tech,suspend,false,false,birdsitelive/bot,false
birdsitelive.loca.lt,suspend,false,false,birdsitelive/bot,false
birdsitelive.mastodon.vm.statshelix.com,suspend,false,false,birdsitelive/bot,false
birdsitelive.moistgarbage.info,suspend,false,false,birdsitelive/bot,false
birdsitelive.nullreference.io,suspend,false,false,birdsitelive/bot,false
birdsitelive.obey.social,suspend,false,false,birdsitelive/bot,false
birdsitelive.peanutlasko.com,suspend,false,false,birdsitelive/bot,false
birdsitelive.samedwards.ca,suspend,false,false,birdsitelive/bot,false
birdsitelive.sboulema.nl,suspend,false,false,birdsitelive/bot,false
birdsitelive.self-hosted.site,suspend,false,false,birdsitelive/bot,false
birdsitelive.treffler.cloud,suspend,false,false,birdsitelive/bot,false
blue.worldkey.io,suspend,false,false,birdsitelive/bot,false
bmu.beerinacan.com,suspend,false,false,birdsitelive/bot,false
bot.gallion.sh,suspend,false,false,birdsitelive/bot,false
bridge.yopp.me,suspend,false,false,birdsitelive/bot,false
bridgebot.b-wells.us,suspend,false,false,birdsitelive/bot,false
bsite.spiderden.net,suspend,false,false,birdsitelive/bot,false
bsl.18m250.org,suspend,false,false,birdsitelive/bot,false
bsl.adamstas.com,suspend,false,false,birdsitelive/bot,false
bsl.allofti.me,suspend,false,false,birdsitelive/bot,false
bsl.beerinacan.com,suspend,false,false,birdsitelive/bot,false
bsl.compostintraining.club,suspend,false,false,birdsitelive/bot,false
bsl.fedi.grh.am,suspend,false,false,birdsitelive/bot,false
bsl.gronk.cc,suspend,false,false,birdsitelive/bot,false
bsl.m-n.live,suspend,false,false,birdsitelive/bot,false
bsl.pride-rock-labs.com,suspend,false,false,birdsitelive/bot,false
bsl.shrdr.de,suspend,false,false,birdsitelive/bot,false
bsl.sid500.com,suspend,false,false,birdsitelive/bot,false
bsl.tuxz.one,suspend,false,false,birdsitelive/bot,false
bsl.zogan.de,suspend,false,false,birdsitelive/bot,false
cp2.jaxbeach.social,suspend,false,false,birdsitelive/bot,false
cuicui.senpaga.net,suspend,false,false,birdsitelive/bot,false
