#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
aethy.com,suspend,false,false,,false
bae.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
freecumextremist.com,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
h5q.net,suspend,false,false,,false
kiwifarms.cc,suspend,false,false,,false
kiwifarms.is,suspend,false,false,,false
misskey-forkbomb.cf,suspend,false,false,,false
neomobius.com,suspend,false,false,,false
nicecrew.digital,suspend,false,false,,false
obo.sh,suspend,false,false,,false
pawoo.net,suspend,false,false,,false
poa.st,suspend,false,false,,false
poast.org,suspend,false,false,,false
poast.tv,suspend,false,false,,false
poster.place,suspend,false,false,,false
rdrama.cc,suspend,false,false,,false
repl.co,suspend,false,false,,false
ryona.agency,suspend,false,false,,false
shitpost.cloud,suspend,false,false,,false
shitposter.club,suspend,false,false,,false
twi.social,suspend,false,false,,false
varishangout.net,suspend,false,false,,false
