#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
9kb.me,suspend,false,false,iftas:disinformation;cib;spam,true
abyss.fun,silence,false,false,iftas:disinformation;cib;spam,true
aud.invalid,suspend,false,false,iftas:canary,true
channels.im,suspend,false,false,iftas:spam;farming,true
chinanews.social,suspend,false,false,iftas:disinformation;cib;spam,true
circus.town,silence,false,false,iftas:disinformation;cib;spam,true
compassion.host,suspend,false,false,iftas:disinformation;cib;spam,true
danonidon.azarakko.net,suspend,false,false,iftas:disinformation;cib;spam,true
electroverse.tech,suspend,false,false,iftas:disinformation;cib;spam,true
elonsucks.org,suspend,false,false,iftas:explicit-content;spam,true
floof.link,suspend,false,false,iftas:disinformation;cib;spam,true
formosa.aspa.idv.tw,suspend,false,false,iftas:disinformation;cib;spam,true
gs.leftic.club,suspend,false,false,iftas:disinformation;cib;spam,true
i.cancn.com,suspend,false,false,iftas:spam,true
liberdon.com,silence,false,false,iftas:disinformation;cib;spam,true
m.pupu.moe,suspend,false,false,iftas:disinformation;cib;spam,true
mast.qixto.com,suspend,false,false,iftas:spam,true
mstdn.beer,silence,false,false,iftas:spam,true
mstdn.gunma.jp,suspend,false,false,iftas:disinformation;cib;spam,true
newsbeep.org,suspend,false,false,iftas:spam;farming,true
pravda.me,suspend,false,false,iftas:disinformation;cib;spam,true
pubeurope.com,suspend,false,false,iftas:spam;farming,true
rassilni.com,suspend,false,false,iftas:hate-speech;spam,true
silverbay.space,suspend,false,false,iftas:impersonation;disinformation;spam,true
social.freysa.ai,suspend,false,false,iftas:spam;cib,true
social.tsst.net,suspend,false,false,iftas:disinformation;cib;spam,true
technodon.org,suspend,false,false,iftas:disinformation;cib;spam,true
theater.im,suspend,false,false,iftas:spam;farming,true
todon.ploud.fr,suspend,false,false,iftas:disinformation;cib;spam,true
truthsocial.co.in,suspend,false,false,iftas:disinformation;spam,true
unipar.online,suspend,false,false,iftas:disinformation;spam,true
vive.im,silence,false,false,iftas:spam;farming,true
vonhaller.social,suspend,false,false,iftas:disinformation;cib;spam,true
