#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
5dollah.click,suspend,false,false,hate speech,false
ac.akirin.xyz,silence,false,false,unmanaged spam,false
activitypub-proxy.cf,suspend,false,false,spam,false
activitypub-troll.cf,suspend,false,false,spam,false
activitypub.awakari.com,silence,false,false,spam,false
aethy.com,suspend,false,false,inappropriate content,false
anime.website,suspend,false,false,inappropriate content,false
annihilation.social,suspend,false,false,hate speech,false
asbestos.cafe,suspend,false,false,hate speech,false
ati**.***ss,suspend,false,false,inappropriate content,false
bae.st,suspend,false,false,inappropriate content,false
bais*****.top,suspend,false,false,inappropriate content,false
baraag.net,suspend,false,false,,false
beefyboys.club,suspend,false,false,hate speech,false
beefyboys.win,suspend,false,false,hate speech,false
beta.birdsite.live,suspend,false,false,,false
beta.mstdn.cf,suspend,false,false,third-party bots,false
bgzashtita.es,silence,false,false,misinformation,false
birb.elfenban.de,suspend,false,false,third-party bots,false
birb.redra1n.net,suspend,false,false,third-party bots,false
birb.stream,suspend,false,false,third-party bots,false
bird.evilcyberhacker.net,suspend,false,false,third-party bots,false
bird.froth.zone,suspend,false,false,third-party bots,false
bird.makeup,suspend,false,false,third-party bots,false
bird.seafoam.space,suspend,false,false,third-party bots,false
birdbots.leptonics.com,suspend,false,false,third-party bots,false
birdlive.grupotd.nat.cu,suspend,false,false,third party bots,false
birdmakeup.sboulema.nl,suspend,false,false,third-party bots,false
birdsite.am-institute.swiss,suspend,false,false,third-party bots,false
birdsite.blazelight.dev,suspend,false,false,third-party bots,false
birdsite.frog.fashion,suspend,false,false,third-party bots,false
birdsite.james.moody.name,suspend,false,false,third-party bots,false
birdsite.lakedrops.com,suspend,false,false,third-party bots,false
birdsite.platypush.tech,suspend,false,false,third-party bots,false
birdsite.seejy.ninja,suspend,false,false,third-party bots,false
birdsite.tcjc.uk,suspend,false,false,third-party bots,false
birdsite.thorlaksson.com,suspend,false,false,third-party bots,false
birdsite.weiranzhang.com,suspend,false,false,third-party bots,false
birdsite.wilde.cloud,suspend,false,false,third-party bots,false
birdsitelive.falschgold.net,suspend,false,false,third-party bots,false
birdsitelive.kevinyank.com,suspend,false,false,third-party bots,false
birdsitelive.samedwards.ca,suspend,false,false,third-party bots,false
birdsitelive.treffler.cloud,suspend,false,false,third-party bots,false
bmu.1a23.studio,suspend,false,false,third-party bots,false
brands.town,suspend,false,false,spam,false
breastmilk.club,suspend,false,false,hate speech,false
bridge.yopp.me,suspend,false,false,third-party bots,false
brighteon.social,silence,false,false,misinformation and conspiracy theories,false
bur****.*oe,suspend,false,false,inappropriate content,false
cachapa.xyz,suspend,false,false,hate speech,false
cann****.*afe,suspend,false,false,inappropriate content,false
cass****.**use,suspend,false,false,inappropriate content,false
catcore.life,silence,false,false,unmanaged spam,false
catgirl.life,suspend,false,false,inappropriate content,false
chil*****.**ace,suspend,false,false,inappropriate content,false
chil*****.*hop,suspend,false,false,inappropriate content,false
chil*****.su,suspend,false,false,inappropriate content,false
chil*****.top,suspend,false,false,inappropriate content,false
chudbuds.lol,suspend,false,false,hate speech,false
clew.lol,suspend,false,false,hate speech,false
clown.******sity,suspend,false,false,inappropriate content,false
clubcyberia.co,suspend,false,false,hate speech,false
comfyboy.club,suspend,false,false,hate speech,false
cotto******.cafe,suspend,false,false,inappropriate content,false
cub.**ol,suspend,false,false,inappropriate content,false
cubs**.*****res,suspend,false,false,inappropriate content,false
cum.salon,suspend,false,false,hate speech,false
cun****.cc,suspend,false,false,inappropriate content,false
cunn******.top,suspend,false,false,inappropriate content,false
cunn*.***uty,suspend,false,false,inappropriate content,false
cunny*****.*pace,suspend,false,false,inappropriate content,false
cut***.**ne,suspend,false,false,inappropriate content,false
cuti*****.cc,suspend,false,false,inappropriate content,false
cuti*****.org,suspend,false,false,inappropriate content,false
daji******.com,suspend,false,false,inappropriate content,false
decayable.ink,suspend,false,false,hate speech,false
deepspace.cafe,suspend,false,false,harassment,false
deepw*********.net,suspend,false,false,inappropriate content,false
degen******.fail,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,hate speech,false
dicekey.jp,silence,false,false,unmanaged spam,false
ede**.***th,suspend,false,false,inappropriate content,false
eepy.****ess,suspend,false,false,inappropriate content,false
eientei.org,suspend,false,false,hate speech,false
eveningzoo.club,suspend,false,false,hate speech,false
fedi.c*********n.org,suspend,false,false,inappropriate content,false
fil**.**ve,suspend,false,false,inappropriate content,false
fr13nd5.com,silence,false,false,misinformation,false
freak.******sity,suspend,false,false,inappropriate content,false
freeatlantis.com,suspend,false,false,hate speech,false
freecumextremist.com,suspend,false,false,hate speech,false
freespeech.club,suspend,false,false,hate speech,false
freespeechextremist.com,suspend,false,false,hate speech,false
fsebugoutzone.org,suspend,false,false,hate speech,false
gab.ai,suspend,false,false,hate speech,false
gab.com,suspend,false,false,hate speech,false
gameliberty.club,suspend,false,false,hate speech,false
gearlandia.haus,suspend,false,false,hate speech,false
genderheretics.xyz,suspend,false,false,transphobia,false
getgle.org,suspend,false,false,hate speech,false
ghet**.****ter,suspend,false,false,inappropriate content,false
gimm*****.cc,suspend,false,false,inappropriate content,false
glindr.org,suspend,false,false,transphobia,false
globalfrens.com,suspend,false,false,hate speech,false
glowers.club,suspend,false,false,hate speech,false
gtmastodon.online,suspend,false,false,spam,false
h5q.net,suspend,false,false,inappropriate content,false
head***.*afe,suspend,false,false,inappropriate content,false
hen***.**by,suspend,false,false,inappropriate content,false
hunk.city,suspend,false,false,spam,false
husk.site,suspend,false,false,hate speech,false
imo***.**cs,suspend,false,false,inappropriate content,false
imou**.****sed,suspend,false,false,inappropriate content,false
instinctd.com,suspend,false,false,third-party bots,false
inum***.*ove,suspend,false,false,inappropriate content,false
jaeger.website,suspend,false,false,transphobia,false
kids******.fyi,suspend,false,false,inappropriate content,false
kids.0px.io,silence,false,false,unmanaged spam,false
kiwifarms.cc,suspend,false,false,known for harassment,false
kodo.*****res,suspend,false,false,inappropriate content,false
kog**.cc,suspend,false,false,inappropriate content,false
leafposter.club,suspend,false,false,hate speech,false
leonardwong.dev,suspend,false,false,third-party bots,false
lewdi*******.com,suspend,false,false,inappropriate content,false
lewdi*******.vip,suspend,false,false,inappropriate content,false
lick.*****.win,suspend,false,false,inappropriate content,false
lit.t*******.xyz,suspend,false,false,inappropriate content,false
lol*.****ch,suspend,false,false,inappropriate content,false
lol*.***za,suspend,false,false,inappropriate content,false
loli****.***ool,suspend,false,false,inappropriate content,false
loli***.****ork,suspend,false,false,inappropriate content,false
loli***.**cks,suspend,false,false,inappropriate content,false
loli.****sed,suspend,false,false,inappropriate content,false
lolison.top,suspend,false,false,inappropriate content,false
lush.moe,suspend,false,false,inappropriate content,false
m.n1l.dev,silence,false,false,unmanaged spam,false
maps******.de,suspend,false,false,inappropriate content,false
mashtodon.alterracloud.com,suspend,false,false,hate speech,false
mast-serv.site,suspend,false,false,spam,false
mast.socialspill.com,suspend,false,false,third-party bots,false
mastinator.com,suspend,false,false,third-party bots,false
masto***.******.lol,suspend,false,false,inappropriate content,false
mastodon.sitejp.synology.me,silence,false,false,unmanaged spam,false
mastodon.social.fraudulent.link,suspend,false,false,impersonation,false
mastodon.socialspill.com,suspend,false,false,third-party bots,false
mastodonhub.com,suspend,false,false,mirroring other mastodon accounts without permission,false
merovingian.club,suspend,false,false,hate speech,false
min**.**fe,suspend,false,false,inappropriate content,false
minds.com,silence,false,false,hate speech,false
misskey-forkbomb.cf,suspend,false,false,spam,false
misskey.io,silence,false,false,inappropriate content,false
misskey.shunrin.com,silence,false,false,unmanaged spam,false
momostr.pink,silence,false,false,spam,false
monk.**.****ness,suspend,false,false,inappropriate content,false
mostr.pub,silence,false,false,spam,false
mstdn.foxfam.club,silence,false,false,server dedicated to unofficial news bots,false
mugicha.club,suspend,false,false,transphobia,false
my.dirtyhobby.xyz,suspend,false,false,automated porn spam ,false
nate*******.org,suspend,false,false,hate speech,false
nateh******.**line,suspend,false,false,hate speech,false
nationalist.social,suspend,false,false,hate speech,false
nazi.social,suspend,false,false,hate speech,false
neckbeard.xyz,suspend,false,false,hate speech,false
nee****.*op,suspend,false,false,inappropriate content,false
newsbots.eu,suspend,false,false,bots,false
nicecrew.digital,suspend,false,false,hate speech,false
nnia.space,suspend,false,false,-,false
noagendasocial.com,silence,false,false, misinformation and conspiracy theories ,false
noauthority.social,suspend,false,false,hate speech,false
norwoodzero.net,suspend,false,false,hate speech,false
ns.auction,suspend,false,false,hate speech,false
nya.u*******.moe,suspend,false,false,inappropriate content,false
nyanide.com,suspend,false,false,hate speech,false
ob*.*h,suspend,false,false,inappropriate content,false
oddb****.***ine,suspend,false,false,inappropriate content,false
onion.social,silence,false,false,spam,false
orfodon.org,suspend,false,false,third-party bots,false
out****.*ip,suspend,false,false,inappropriate content,false
pac**.us,suspend,false,false,inappropriate content,false
paravielfalt.zone,suspend,false,false,inappropriate content,false
parcero.bond,suspend,false,false,hate speech,false
parcero.casa,suspend,false,false,hate speech,false
pawoo.net,suspend,false,false,inappropriate content,false
paypig.org,suspend,false,false,hate speech,false
ped*.****ol,suspend,false,false,inappropriate content,false
pett****.art,suspend,false,false,inappropriate content,false
pieville.net,suspend,false,false,hate speech,false
pika.moe,silence,false,false,unmanaged spam,false
pl.smuglo.li,suspend,false,false,inappropriate content,false
pl.wy********.art,suspend,false,false,inappropriate content,false
plero**.*****.love,suspend,false,false,inappropriate content,false
plero**.*****.net,suspend,false,false,inappropriate content,false
pleroma.**********he.biz,suspend,false,false,hate speech,false
pleroma.adachi.party,suspend,false,false,hate speech,false
pleroma.fun,suspend,false,false,hate speech,false
pleroma.kitsunemimi.club,suspend,false,false,hate speech,false
pleroma.us,suspend,false,false,hate speech,false
poa.st,suspend,false,false,hate speech,false
poast.tv,suspend,false,false,hate speech,false
pooper.social,suspend,false,false,hate speech,false
poster.place,suspend,false,false,hate speech,false
postin*.*******.rocks,suspend,false,false,hate speech,false
pouque.net,suspend,false,false,hate speech,false
pupp******.cc,suspend,false,false,inappropriate content,false
pupp******.org,suspend,false,false,inappropriate content,false
rakket.app,suspend,false,false,hate speech,false
rap*.*et,suspend,false,false,inappropriate content,false
rapem***.*****ions,suspend,false,false,inappropriate content,false
rapemeat.express,suspend,false,false,inappropriate content,false
rdrama.cc,suspend,false,false,hate speech,false
refusal.biz,suspend,false,false,inappropriate content,false
repl.co,suspend,false,false,spam,false
rot.***es,suspend,false,false,inappropriate content,false
ryona.agency,suspend,false,false,hate speech,false
schwartzwelt.xyz,suspend,false,false,hate speech,false
