#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
10minutepleroma.com,suspend,false,false,spam,false
5dollah.click,suspend,false,false,hate speech,false
a.sc,suspend,false,false,hate speech,false
ac.akirin.xyz,silence,false,false,unmanaged spam,false
activitypub-proxy.cf,suspend,false,false,spam,false
activitypub-troll.cf,suspend,false,false,spam,false
activitypub.awakari.com,silence,false,false,spam,false
aethy.com,suspend,false,false,inappropriate content,false
annihilation.social,suspend,false,false,hate speech,false
ap.***.st,suspend,false,false,spam,false
asbestos.cafe,suspend,false,false,hate speech,false
ati**.***ss,suspend,false,false,inappropriate content,false
bae.st,suspend,false,false,inappropriate content,false
bais*****.top,suspend,false,false,inappropriate content,false
bar***.*et,suspend,false,false,inappropriate content,false
beef*****.*lub,suspend,false,false,inappropriate content,false
beefyboys.win,suspend,false,false,hate speech,false
best****.fun,suspend,false,false,inappropriate content,false
beta.birdsite.live,suspend,false,false,third-party bots,false
beta.mstdn.cf,suspend,false,false,third-party bots,false
bgzashtita.es,silence,false,false,misinformation,false
birb.elfenban.de,suspend,false,false,third-party bots,false
birb.redra1n.net,suspend,false,false,third-party bots,false
birb.stream,suspend,false,false,third-party bots,false
bird.evilcyberhacker.net,suspend,false,false,third-party bots,false
bird.froth.zone,suspend,false,false,third-party bots,false
bird.im-in.space,suspend,false,false,third-party bots,false
bird.istheguy.com,suspend,false,false,third-party bots,false
bird.makeup,suspend,false,false,third-party bots,false
bird.r669.live,suspend,false,false,third-party bots,false
birdbots.leptonics.com,suspend,false,false,third-party bots,false
birdbridge.autonomy.earth,suspend,false,false,third-party bots,false
birdlive.grupotd.nat.cu,suspend,false,false,third party bots,false
birdmakeup.opiumpost.org,suspend,false,false,third-party bots,false
birdmakeup.sboulema.nl,suspend,false,false,third-party bots,false
birdsite.am-institute.swiss,suspend,false,false,third-party bots,false
birdsite.b93.dece.space,suspend,false,false,third-party bots,false
birdsite.blazelight.dev,suspend,false,false,third-party bots,false
birdsite.cloutier.co,suspend,false,false,third-party bots,false
birdsite.darkesttimeline.social,suspend,false,false,third-party bots,false
birdsite.frog.fashion,suspend,false,false,third-party bots,false
birdsite.gabeappleton.me,suspend,false,false,third-party bots,false
birdsite.gred.al,suspend,false,false,third-party bots,false
birdsite.james.moody.name,suspend,false,false,third-party bots,false
birdsite.jemverse.xyz,suspend,false,false,third-party bots,false
birdsite.kaijauch.de,suspend,false,false,third-party bots,false
birdsite.lakedrops.com,suspend,false,false,third-party bots,false
birdsite.link,suspend,false,false,third-party bots,false
birdsite.mastodon.me.uk,suspend,false,false,third-party bots,false
birdsite.miisu.net,suspend,false,false,third-party bots,false
birdsite.monster,suspend,false,false,third-party bots,false
birdsite.nytpu.com,suspend,false,false,third-party bots,false
birdsite.oliviaappleton.com,suspend,false,false,third-party bots,false
birdsite.platypush.tech,suspend,false,false,third-party bots,false
birdsite.seejy.ninja,suspend,false,false,third-party bots,false
birdsite.skye.cx,suspend,false,false,third-party bots,false
birdsite.slashdev.space,suspend,false,false,third-party bots,false
birdsite.spectreos.de,suspend,false,false,third-party bots,false
birdsite.tcjc.uk,suspend,false,false,third-party bots,false
birdsite.thorlaksson.com,suspend,false,false,third-party bots,false
birdsite.toot.si,suspend,false,false,third-party bots,false
birdsite.vrparty.social,suspend,false,false,third-party bots,false
birdsite.weiranzhang.com,suspend,false,false,third-party bots,false
birdsite.wilde.cloud,suspend,false,false,third-party bots,false
birdsitelive.baguette-it.social,suspend,false,false,third-party bots,false
birdsitelive.bubbletea.dev,suspend,false,false,third-party bots,false
birdsitelive.falschgold.net,suspend,false,false,third-party bots,false
