#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
076.ne.jp,suspend,false,false,,false
0xspace.social,suspend,false,false,,false
101010.pl,silence,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
a.sc,suspend,false,false,,false
absturztau.be,silence,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adachi.party,suspend,false,false,,false
aethy.com,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
arachnid.town,silence,false,false,,false
asbestos.cafe,suspend,false,false,,false
asteroidm.space,suspend,false,false,,false
bae.st,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
bassam.social,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
berserker.town,suspend,false,false,,false
beta.mstdn.cf,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
birdsite.thorlaksson.com,suspend,false,false,,false
blob.cat,suspend,false,false,,false
body.social,silence,false,false,,false
boks.moe,suspend,false,false,,false
botsin.space,silence,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
bubbletea.dev,suspend,false,false,,false
bungle.online,suspend,false,false,,false
buttplug.zone,silence,false,false,,false
cachapa.xyz,suspend,false,false,,false
catgirl.life,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
clew.lol,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
crucible.world,suspend,false,false,,false
cryptodon.lol,suspend,false,false,,false
cryptotalks.social,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
d-fens.systems,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
disqordia.space,silence,false,false,,false
djsumdog.com,suspend,false,false,,false
duckdns.org,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eightpoint.app,silence,false,false,,false
elekk.xyz,silence,false,false,,false
elonsucks.org,suspend,false,false,,false
epsilon.social,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
exploding-heads.com,suspend,false,false,,false
fbxl.net,suspend,false,false,,false
fed.celp.de,silence,false,false,,false
federated.fun,suspend,false,false,,false
femboys.love,suspend,false,false,,false
feral.cafe,suspend,false,false,,false
fightthis.net,suspend,false,false,,false
fluf.club,suspend,false,false,,false
freak.university,suspend,false,false,,false
freeatlantis.com,suspend,false,false,,false
freecumextremist.com,suspend,false,false,,false
freesoftwareextremist.com,suspend,false,false,,false
freespeech.group,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
freetalklive.com,suspend,false,false,,false
freethinkers.lgbt,suspend,false,false,,false
frennet.xyz,suspend,false,false,,false
froth.zone,suspend,false,false,,false
gameliberty.club,suspend,false,false,,false
gearlandia.haus,suspend,false,false,,false
genderheretics.xyz,suspend,false,false,,false
gensokyo.club,suspend,false,false,,false
geofront.rocks,suspend,false,false,,false
gleasonator.com,suspend,false,false,,false
glee.li,suspend,false,false,,false
goreslut.xyz,suspend,false,false,,false
h5q.net,suspend,false,false,,false
hentai.baby,suspend,false,false,,false
hidamari.apartments,suspend,false,false,,false
hitchhiker.social,suspend,false,false,,false
husk.site,suspend,false,false,,false
iddqd.social,suspend,false,false,,false
ignorelist.com,suspend,false,false,,false
intkos.link,suspend,false,false,,false
kawa-kun.com,suspend,false,false,,false
kibitz.cloud,suspend,false,false,,false
kitsunemimi.club,suspend,false,false,,false
kiwifarms.cc,suspend,false,false,,false
kolektiva.social,silence,false,false,,false
kompost.cz,suspend,false,false,,false
kurosawa.moe,suspend,false,false,,false
leafposter.club,suspend,false,false,,false
letsalllovela.in,suspend,false,false,,false
lewdieheaven.com,suspend,false,false,,false
liberdon.com,suspend,false,false,,false
ligma.pro,suspend,false,false,,false
lolicon.rocks,suspend,false,false,,false
lolison.network,suspend,false,false,,false
lolison.top,suspend,false,false,,false
lovingexpressions.net,suspend,false,false,,false
makemysarcophagus.com,suspend,false,false,,false
mapsupport.de,suspend,false,false,,false
marsey.moe,suspend,false,false,,false
masochi.st,suspend,false,false,,false
mastertibbles.co.uk,suspend,false,false,,false
mastinator.com,suspend,false,false,,false
mastobate.social,silence,false,false,,false
mastodon.cloud,silence,false,false,,false
mastodong.lol,suspend,false,false,,false
matrix.rocks,suspend,false,false,,false
merovingian.club,suspend,false,false,,false
milker.cafe,suspend,false,false,,false
minds.com,suspend,false,false,,false
mirr0r.city,suspend,false,false,,false
misskey-forkbomb.cf,suspend,false,false,,false
misskey.cf,suspend,false,false,,false
misskey.io,silence,false,false,,false
moa.st,suspend,false,false,,false
mostr.pub,suspend,false,false,,false
mouse.services,suspend,false,false,,false
mrhands.horse,suspend,false,false,,false
mstdn.jp,silence,false,false,,false
mugicha.club,suspend,false,false,,false
mycub.space,suspend,false,false,,false
natehiggers.online,suspend,false,false,,false
neenster.org,suspend,false,false,,false
neomobius.com,suspend,false,false,,false
newsie.social,silence,false,false,,false
nicecrew.digital,suspend,false,false,,false
nnia.space,suspend,false,false,,false
noagendasocial.com,suspend,false,false,,false
nobodyhasthe.biz,suspend,false,false,,false
norwoodzero.net,suspend,false,false,,false
nyanide.com,suspend,false,false,,false
obo.sh,suspend,false,false,,false
occultist.space,suspend,false,false,,false
onionfarms.org,suspend,false,false,,false
outpoa.st,suspend,false,false,,false
paravielfalt.zone,suspend,false,false,,false
pawoo.net,suspend,false,false,,false
pedo.school,suspend,false,false,,false
pettanko.art,suspend,false,false,,false
pibvt.net,suspend,false,false,,false
pieville.net,suspend,false,false,,false
pisskey.io,suspend,false,false,,false
pizzaf.art,suspend,false,false,,false
pkteerium.xyz,suspend,false,false,,false
poa.st,suspend,false,false,,false
poast.tv,suspend,false,false,,false
pone.social,suspend,false,false,,false
poster.place,suspend,false,false,,false
pouque.net,suspend,false,false,,false
poweredbycocaine.com,suspend,false,false,,false
press.coop,silence,false,false,,false
privex.social,suspend,false,false,,false
qoto.org,silence,false,false,,false
quanta.wiki,suspend,false,false,,false
raccoon.quest,suspend,false,false,,false
rapemeat.express,suspend,false,false,,false
rapemeat.solutions,suspend,false,false,,false
raspberrypi.social,silence,false,false,,false
rcsocial.net,suspend,false,false,,false
rdrama.cc,suspend,false,false,,false
refusal.biz,suspend,false,false,,false
refusal.llc,suspend,false,false,,false
repl.co,suspend,false,false,,false
republic.red,suspend,false,false,,false
rojogato.com,suspend,false,false,,false
rot.gives,suspend,false,false,,false
rqd2.net,suspend,false,false,,false
ryona.agency,suspend,false,false,,false
schwartzwelt.xyz,suspend,false,false,,false
scots.network,suspend,false,false,,false
seal.cafe,suspend,false,false,,false
shitpost.cloud,suspend,false,false,,false
shitposter.club,suspend,false,false,,false
shortstackran.ch,suspend,false,false,,false
shortstacksran.ch,suspend,false,false,,false
shota.house,suspend,false,false,,false
shrimpcam.pw,suspend,false,false,,false
shrimpposter.club,suspend,false,false,,false
skinheads.eu,suspend,false,false,,false
skinheads.io,suspend,false,false,,false
skinheads.social,suspend,false,false,,false
skinheads.uk,suspend,false,false,,false
skinnyver.se,suspend,false,false,,false
skippers-bin.com,suspend,false,false,,false
skyshanty.xyz,suspend,false,false,,false
sleepy.cafe,suspend,false,false,,false
sneed.social,suspend,false,false,,false
soc.ua-fediland.de,silence,false,false,,false
solagg.com,suspend,false,false,,false
spinster.xyz,suspend,false,false,,false
springbo.cc,suspend,false,false,,false
squid.kids,suspend,false,false,,false
starnix.network,suspend,false,false,,false
staycuriousandkeepsmil.in,suspend,false,false,,false
stereophonic.space,suspend,false,false,,false
strelizia.net,suspend,false,false,,false
supernets.social,suspend,false,false,,false
syspxl.xyz,suspend,false,false,,false
tastingtraffic.net,suspend,false,false,,false
teci.world,suspend,false,false,,false
thisisjoes.site,suspend,false,false,,false
threads.net,suspend,false,false,,false
troll.cafe,suspend,false,false,,false
trumpislovetrumpis.life,suspend,false,false,,false
truthsocial.co.in,suspend,false,false,,false
twi.social,suspend,false,false,,false
twtr.plus,suspend,false,false,,false
twtr.vrij.social,suspend,false,false,,false
urchan.org,suspend,false,false,,false
ursal.zone,silence,false,false,,false
usualsuspects.lol,suspend,false,false,,false
varishangout.net,suspend,false,false,,false
vtuberfan.social,suspend,false,false,,false
whinge.town,suspend,false,false,,false
wideboys.org,suspend,false,false,,false
witches.live,silence,false,false,,false
