#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
000this.is.generated.from.overlap.across.trusted.sources.example.com,suspend,False,False,,False
076.moe,suspend,False,False,,False
076.ne.jp,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
4aem.com,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
80percent.social,suspend,False,False,,False
829.hu,suspend,False,False,,False
8777.ch,suspend,False,False,,False
9tail.net,suspend,False,False,,False
a.sc,suspend,False,False,,False
abdl.link,silence,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
activitypub.actor,suspend,False,False,,False
addy.gg,suspend,False,False,,False
aethy.com,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
airis.work,suspend,False,False,,False
akm.longyap.name.my,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
amala.schwartzwelt.xyz,suspend,False,False,,False
ams3-03.smarterliving.nl,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
anime.website,suspend,False,False,,False
animesexual.community,suspend,False,False,,False
anitwitter.moe,silence,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
asimon.org,suspend,False,False,,False
asphodel.rip,suspend,False,False,,False
astra.lol,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
baguette-it.social,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
beachcom.org,suspend,False,False,,False
bearbirdsite.sicem.social,suspend,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
berserker.town,suspend,False,False,,False
beta.birdsite.live,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,,False
bgzashtita.es,suspend,False,False,,False
bibly.com,suspend,False,False,,False
bigguys.club,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
birb.byte.wtf,suspend,False,False,,False
birb.elfenban.de,suspend,False,False,,False
birb.redra1n.net,suspend,False,False,,False
birb.stream,suspend,False,False,,False
