domain,severity,public_comment,reject_media,reject_reports,obfuscate
076.moe,suspend,,False,False,False
0xspace.social,suspend,,False,False,False
1611.social,suspend,,False,False,False
80percent.social,suspend,,False,False,False
activitypub-proxy.cf,suspend,,False,False,False
activitypub-troll.cf,suspend,,False,False,False
aethy.com,suspend,,False,False,False
alteregocreations.com,suspend,,False,False,False
archivefedifor.fun,suspend,,False,False,False
aspiechattr.me,silence,,False,False,False
bae.st,suspend,,False,False,False
baraag.net,suspend,,False,False,False
beefyboys.win,suspend,,False,False,False
berserker.town,suspend,,False,False,False
beta.birdsite.live,suspend,,False,False,False
beta.mstdn.cf,suspend,,False,False,False
birb.elfenban.de,suspend,,False,False,False
bird.evilcyberhacker.net,suspend,,False,False,False
bird.froth.zone,suspend,,False,False,False
bird.im-in.space,suspend,,False,False,False
bird.istheguy.com,suspend,,False,False,False
bird.nzbr.de,suspend,,False,False,False
bird.r669.live,suspend,,False,False,False
birdbots.leptonics.com,suspend,,False,False,False
birds.im-in.space,suspend,,False,False,False
birdsite.blazelight.dev,suspend,,False,False,False
birdsite.cloutier.co,suspend,,False,False,False
birdsite.darkesttimeline.social,suspend,,False,False,False
birdsite.frog.fashion,suspend,,False,False,False
birdsite.james.moody.name,suspend,,False,False,False
birdsite.lakedrops.com,suspend,,False,False,False
birdsite.link,suspend,,False,False,False
birdsite.monster,suspend,,False,False,False
birdsite.nytpu.com,suspend,,False,False,False
birdsite.platypush.tech,suspend,,False,False,False
birdsite.slashdev.space,suspend,,False,False,False
birdsite.tcjc.uk,suspend,,False,False,False
birdsite.thorlaksson.com,suspend,,False,False,False
birdsite.toot.si,suspend,,False,False,False
birdsite.vrparty.social,suspend,,False,False,False
birdsite.wilde.cloud,suspend,,False,False,False
birdsitelive.moistgarbage.info,suspend,,False,False,False
birdsitelive.treffler.cloud,suspend,,False,False,False
bitcoinhackers.org,silence,,False,False,False
bofh.social,suspend,,False,False,False
botsin.space,silence,,False,False,False
boyter.org,suspend,,False,False,False
brainsoap.net,suspend,,False,False,False
brighteon.social,suspend,,False,False,False
bsl.sid500.com,suspend,,False,False,False
bsl.tuxz.one,suspend,,False,False,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,,False,False,False
cachapa.xyz,suspend,,False,False,False
cawfee.club,suspend,,False,False,False
childpawn.shop,suspend,,False,False,False
chudbuds.lol,suspend,,False,False,False
cloudisland.online,suspend,,False,False,False
clubcyberia.co,suspend,,False,False,False
comfyboy.club,suspend,,False,False,False
cryptodon.lol,suspend,,False,False,False
cryptotalks.social,suspend,,False,False,False
cum.camp,suspend,,False,False,False
cum.salon,suspend,,False,False,False
cyberstorm.one,suspend,,False,False,False
d-fens.systems,suspend,,False,False,False
danksquad.org,suspend,,False,False,False
darknight-coffee.org,suspend,,False,False,False
daspr.io,suspend,,False,False,False
detroitriotcity.com,suspend,,False,False,False
dirtyhobby.xyz,silence,,False,False,False
disqordia.space,suspend,,False,False,False
dissident.business,suspend,,False,False,False
dixies.land,suspend,,False,False,False
dogsex.org,suspend,,False,False,False
duckdns.org,suspend,,False,False,False
eientei.org,suspend,,False,False,False
eightpoint.app,silence,,False,False,False
elekk.xyz,silence,,False,False,False
endtimebelievers.com,suspend,,False,False,False
eveningzoo.club,suspend,,False,False,False
f.ckpg.space,suspend,,False,False,False
f.haeder.net,suspend,,False,False,False
fed.calp.de,suspend,,False,False,False
fed.celp.de,silence,,False,False,False
federated.fun,suspend,,False,False,False
fedi.pawlicker.com,suspend,,False,False,False
firebird.mullet.social,suspend,,False,False,False
freak.university,suspend,,False,False,False
freeatlantis.com,suspend,,False,False,False
freecumextremist.com,suspend,,False,False,False
freedomstrike.net,suspend,,False,False,False
freefedifollowers.ga,suspend,,False,False,False
freespeechextremist.com,suspend,,False,False,False
freezepeach.online,suspend,,False,False,False
freezepeach.xyz,suspend,,False,False,False
froth.zone,silence,,False,False,False
gab.ai,suspend,,False,False,False
gab.com,suspend,,False,False,False
gameliberty.club,suspend,,False,False,False
gangstalking.services,suspend,,False,False,False
gasthe.lgbt,suspend,,False,False,False
genderheretics.xyz,suspend,,False,False,False
ghetti.monster,suspend,,False,False,False
gleasonator.com,silence,,False,False,False
gnuhacker.org,suspend,,False,False,False
hentai.baby,suspend,,False,False,False
hirad.it,suspend,,False,False,False
husk.site,suspend,,False,False,False
iddqd.social,suspend,,False,False,False
ignorelist.com,suspend,,False,False,False
ihatebeinga.live,suspend,,False,False,False
instinctd.com,suspend,,False,False,False
kazv.moe,suspend,,False,False,False
kitsunemimi.club,suspend,,False,False,False
kiwifarms.cc,suspend,,False,False,False
kiwifarms.is,suspend,,False,False,False
kiwifarms.net,suspend,,False,False,False
kolektiva.social,silence,,False,False,False
kurosawa.moe,suspend,,False,False,False
leafposter.club,suspend,,False,False,False
leftlibertarian.club,suspend,,False,False,False
lgbtfree.zone,suspend,,False,False,False
librenet.co.za,suspend,,False,False,False
libtar.de,suspend,,False,False,False
loli.best,suspend,,False,False,False
lolicon.rocks,suspend,,False,False,False
lolison.network,suspend,,False,False,False
lolison.top,suspend,,False,False,False
masochi.st,suspend,,False,False,False
mastinator.com,suspend,,False,False,False
mastindia.co,suspend,,False,False,False
mastodon.cloud,silence,,False,False,False
mastodon.se,silence,,False,False,False
meatbag.app,suspend,,False,False,False
minidisc.tokyo,suspend,,False,False,False
mirr0r.city,suspend,,False,False,False
misskey-forkbomb,suspend,,False,False,False
misskey-forkbomb.cf,suspend,,False,False,False
monads.online,silence,,False,False,False
mstdn.jp,silence,,False,False,False
nafo.uk,silence,,False,False,False
nalocal519.social,suspend,,False,False,False
natehiggers.online,suspend,,False,False,False
nationaljustice.social,suspend,,False,False,False
nazi.social,suspend,,False,False,False
neckbeard.xyz,suspend,,False,False,False
neenster.org,suspend,,False,False,False
nekocave.xyz,suspend,,False,False,False
news.twtr.plus,suspend,,False,False,False
nicecrew.digital,suspend,,False,False,False
nnia.space,suspend,,False,False,False
noagendasocial.com,suspend,,False,False,False
nobodyhasthe.biz,suspend,,False,False,False
normie.cafe,suspend,,False,False,False
notbird.site,suspend,,False,False,False
outpoa.st,suspend,,False,False,False
patriot.online,suspend,,False,False,False
pawoo.net,suspend,,False,False,False
pedo.school,suspend,,False,False,False
pieville.net,suspend,,False,False,False
pirateradio.social,suspend,,False,False,False
pizzaf.art,suspend,,False,False,False
pl.kitsunemimi.club,suspend,,False,False,False
pl.valkyrie.world,suspend,,False,False,False
pleroma.karjalazet.se,suspend,,False,False,False
pleroma.kitsunemimi.club,suspend,,False,False,False
pleroma.kiwifarms.net,suspend,,False,False,False
poa.st,suspend,,False,False,False
poast.eth,suspend,,False,False,False
poast.org,suspend,,False,False,False
poast.tv,silence,,False,False,False
porntoot.com,silence,,False,False,False
poster.place,suspend,,False,False,False
posting.lolicon.rocks,suspend,,False,False,False
poweredbycocaine.com,suspend,,False,False,False
psion.co,suspend,,False,False,False
qoto.org,silence,,False,False,False
r18.social,suspend,,False,False,False
rapefeminists.network,suspend,,False,False,False
rapemeat.solutions,suspend,,False,False,False
raspberrypi.social,silence,,False,False,False
rayci.st,suspend,,False,False,False
rdrama.cc,suspend,,False,False,False
real.dogsex.org,suspend,,False,False,False
rebelbase.site,suspend,,False,False,False
refusal.biz,suspend,,False,False,False
refusal.llc,suspend,,False,False,False
repl.co,suspend,,False,False,False
respublicae.eu,suspend,,False,False,False
rojogato.com,suspend,,False,False,False
rot.gives,suspend,,False,False,False
ryona.agency,suspend,,False,False,False
scots.network,suspend,,False,False,False
seal.cafe,suspend,,False,False,False
sealion.club,suspend,,False,False,False
seo.chat,silence,,False,False,False
servernerds.net,suspend,,False,False,False
shadowsocial.org,suspend,,False,False,False
sharivegas.com,suspend,,False,False,False
shitpost.cloud,suspend,,False,False,False
shitposter.club,silence,,False,False,False
shortstackran.ch,suspend,,False,False,False
shota.house,silence,,False,False,False
shota.social,suspend,,False,False,False
silliness.observer,suspend,,False,False,False
sleepy.cafe,suspend,,False,False,False
sleepy.place,silence,,False,False,False
sneed.social,suspend,,False,False,False
social.freetalklive.com,suspend,,False,False,False
social.lovingexpressions.net,suspend,,False,False,False
social.urspringer.de,silence,,False,False,False
solagg.com,suspend,,False,False,False
spank.ws,silence,,False,False,False
speakfree.world,suspend,,False,False,False
sperg.city,suspend,,False,False,False
spinster.xyz,suspend,,False,False,False
squid.kids,suspend,,False,False,False
stars.eroaward.com,silence,,False,False,False
strelizia.net,suspend,,False,False,False
