domain,severity,public_comment,reject_media,reject_reports,obfuscate
000this.is.generated.from.overlap.across.trusted.sources.example.com,suspend,,False,False,False
076.moe,suspend,,False,False,False
076.ne.jp,suspend,,False,False,False
0xspace.social,suspend,,False,False,False
13bells.com,suspend,,False,False,False
1611.social,suspend,,False,False,False
5dollah.click,suspend,,False,False,False
80percent.social,suspend,,False,False,False
activitypub-proxy.cf,suspend,,False,False,False
activitypub-troll.cf,suspend,,False,False,False
addy.gg,suspend,,False,False,False
aethy.com,suspend,,False,False,False
alteregocreations.com,suspend,,False,False,False
angrytoday.com,suspend,,False,False,False
anime.website,suspend,,False,False,False
arachnid.town,suspend,,False,False,False
archivefedifor.fun,suspend,,False,False,False
asbestos.cafe,suspend,,False,False,False
aspiechattr.me,silence,,False,False,False
badly.co,suspend,,False,False,False
bae.st,suspend,,False,False,False
bajax.us,suspend,,False,False,False
banepo.st,suspend,,False,False,False
baraag.net,suspend,,False,False,False
beefyboys.club,suspend,,False,False,False
beefyboys.win,suspend,,False,False,False
berserker.town,suspend,,False,False,False
beta.birdsite.live,suspend,,False,False,False
beta.mstdn.cf,suspend,,False,False,False
bgzashtita.es,suspend,,False,False,False
bikeshed.party,suspend,,False,False,False
birb.elfenban.de,suspend,,False,False,False
bird.evilcyberhacker.net,suspend,,False,False,False
bird.froth.zone,suspend,,False,False,False
bird.im-in.space,suspend,,False,False,False
bird.istheguy.com,suspend,,False,False,False
bird.nzbr.de,suspend,,False,False,False
bird.r669.live,suspend,,False,False,False
birdbots.leptonics.com,suspend,,False,False,False
birds.im-in.space,suspend,,False,False,False
birdsite.blazelight.dev,suspend,,False,False,False
birdsite.cloutier.co,suspend,,False,False,False
birdsite.darkesttimeline.social,suspend,,False,False,False
birdsite.frog.fashion,suspend,,False,False,False
birdsite.james.moody.name,suspend,,False,False,False
birdsite.lakedrops.com,suspend,,False,False,False
birdsite.link,suspend,,False,False,False
birdsite.monster,suspend,,False,False,False
birdsite.nytpu.com,suspend,,False,False,False
birdsite.platypush.tech,suspend,,False,False,False
birdsite.slashdev.space,suspend,,False,False,False
birdsite.tcjc.uk,suspend,,False,False,False
birdsite.thorlaksson.com,suspend,,False,False,False
birdsite.toot.si,suspend,,False,False,False
birdsite.vrparty.social,suspend,,False,False,False
