domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.ne.jp,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1745.info,suspend,False,False,,False
4aem.com,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
7td.org,suspend,False,False,,False
80percent.social,suspend,False,False,,False
8777.ch,suspend,False,False,,False
a.sc,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
addy.gg,suspend,False,False,,False
aethy.com,suspend,False,False,,False
affiliates.social,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
ams3-03.smarterliving.nl,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
anqou.net,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
aspiechattr.me,suspend,False,False,,False
awoo.fai.st,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banepo.st,suspend,False,False,,False
bar.arumoon.ru,suspend,False,False,,False
baraag.net,suspend,False,False,,False
bbs.kawa-kun.com,suspend,False,False,,False
bearbirdsite.sicem.social,suspend,False,False,,False
bearhole.gay,silence,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
berserker.town,suspend,False,False,,False
beta.birdsite.live,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,,False
bgzashtita.es,silence,False,False,,False
bibly.com,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
birb.byte.wtf,suspend,False,False,,False
birb.elfenban.de,suspend,False,False,,False
birb.redra1n.net,suspend,False,False,,False
birb.stream,suspend,False,False,,False
birbber.hotfemboy.pics,suspend,False,False,,False
bird.chauvet.pro,suspend,False,False,,False
bird.evilcyberhacker.net,suspend,False,False,,False
bird.geiger.ee,suspend,False,False,,False
bird.gensokyo.info,suspend,False,False,,False
bird.granford.uk,suspend,False,False,,False
bird.hock.one,suspend,False,False,,False
bird.im-in.space,suspend,False,False,,False
bird.istheguy.com,suspend,False,False,,False
bird.karatek.net,suspend,False,False,,False
bird.kuendig.io,suspend,False,False,,False
bird.lummerland.ddnss.de,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
bird.nzbr.de,suspend,False,False,,False
bird.r669.live,suspend,False,False,,False
bird.seafoam.space,suspend,False,False,,False
bird.shitposted.today,suspend,False,False,,False
bird.tracto.pl,suspend,False,False,,False
bird.waffles.fun,suspend,False,False,,False
bird.zerojay.com,suspend,False,False,,False
bird.zvo.io,suspend,False,False,,False
birdbots.leptonics.com,suspend,False,False,,False
birdlive.grupotd.nat.cu,suspend,False,False,,False
birdsite.am-institute.swiss,suspend,False,False,,False
birdsite.archybold.com,suspend,False,False,,False
birdsite.axeleroy.com,suspend,False,False,,False
birdsite.b93.dece.space,suspend,False,False,,False
birdsite.blahaj.social,suspend,False,False,,False
birdsite.blazelight.dev,suspend,False,False,,False
birdsite.cbruegg.com,suspend,False,False,,False
birdsite.centennial.root.sx,suspend,False,False,,False
birdsite.cloutier.co,suspend,False,False,,False
birdsite.csachweh.de,suspend,False,False,,False
birdsite.darkesttimeline.social,suspend,False,False,,False
birdsite.datboi.network,suspend,False,False,,False
birdsite.davinkevin.fr,suspend,False,False,,False
birdsite.falkensweb.com,suspend,False,False,,False
birdsite.felixmueller.cloud,suspend,False,False,,False
birdsite.frog.fashion,suspend,False,False,,False
birdsite.gabeappleton.me,suspend,False,False,,False
birdsite.gnyo.org,suspend,False,False,,False
birdsite.gred.al,suspend,False,False,,False
birdsite.gxvwb.dev,suspend,False,False,,False
birdsite.hexix.de,suspend,False,False,,False
birdsite.hwarf.com,suspend,False,False,,False
birdsite.ingwie.me,suspend,False,False,,False
birdsite.intra.kaijauch.de,suspend,False,False,,False
birdsite.james.moody.name,suspend,False,False,,False
birdsite.jupiterslanding.social,suspend,False,False,,False
birdsite.jvpiter.net,suspend,False,False,,False
birdsite.k-fortytwo.de,suspend,False,False,,False
birdsite.kaijauch.de,suspend,False,False,,False
birdsite.kohl.dev,suspend,False,False,,False
birdsite.koyu.space,suspend,False,False,,False
birdsite.lakedrops.com,suspend,False,False,,False
birdsite.link,suspend,False,False,,False
birdsite.lipsia.casa,suspend,False,False,,False
birdsite.live,suspend,False,False,,False
birdsite.lluni.de,suspend,False,False,,False
birdsite.marschik.me,suspend,False,False,,False
birdsite.mastodon.land,suspend,False,False,,False
birdsite.mastodon.me.uk,suspend,False,False,,False
birdsite.miisu.net,suspend,False,False,,False
birdsite.monster,suspend,False,False,,False
birdsite.nickurak.ca,suspend,False,False,,False
birdsite.noitl.space,suspend,False,False,,False
birdsite.nytpu.com,suspend,False,False,,False
birdsite.oliviaappleton.com,suspend,False,False,,False
birdsite.otmns.net,suspend,False,False,,False
birdsite.outadoc.fr,suspend,False,False,,False
birdsite.platypush.tech,suspend,False,False,,False
birdsite.rap.social,suspend,False,False,,False
birdsite.schafscheiss.com,suspend,False,False,,False
birdsite.seejy.ninja,suspend,False,False,,False
birdsite.slashdev.space,suspend,False,False,,False
birdsite.spectreos.de,suspend,False,False,,False
birdsite.tableflip.zone,suspend,False,False,,False
birdsite.tcjc.uk,suspend,False,False,,False
birdsite.tedandrachel.com,suspend,False,False,,False
birdsite.thorlaksson.com,suspend,False,False,,False
birdsite.toot.si,suspend,False,False,,False
birdsite.vish.link,suspend,False,False,,False
birdsite.vrparty.social,suspend,False,False,,False
birdsite.weiranzhang.com,suspend,False,False,,False
birdsite.wilde.cloud,suspend,False,False,,False
birdsitelive.angrydome.au,suspend,False,False,,False
birdsitelive.baguette-it.social,suspend,False,False,,False
birdsitelive.chatty.monster,suspend,False,False,,False
birdsitelive.falschgold.net,suspend,False,False,,False
birdsitelive.ffvo.dev,suspend,False,False,,False
birdsitelive.janngobble.synology.me,suspend,False,False,,False
birdsitelive.kevinyank.com,suspend,False,False,,False
birdsitelive.laski.app,suspend,False,False,,False
birdsitelive.leonardwong.tech,suspend,False,False,,False
birdsitelive.loca.lt,suspend,False,False,,False
birdsitelive.mastodon.vm.statshelix.com,suspend,False,False,,False
birdsitelive.moistgarbage.info,suspend,False,False,,False
birdsitelive.nullreference.io,suspend,False,False,,False
birdsitelive.obey.social,suspend,False,False,,False
birdsitelive.peanutlasko.com,suspend,False,False,,False
birdsitelive.samedwards.ca,suspend,False,False,,False
birdsitelive.sboulema.nl,suspend,False,False,,False
birdsitelive.self-hosted.site,suspend,False,False,,False
birdsitelive.treffler.cloud,suspend,False,False,,False
bitcoinhackers.org,suspend,False,False,,False
bitcoinlizard.net,suspend,False,False,,False
bitcointv.com,suspend,False,False,,False
bittube.video,suspend,False,False,,False
blacksun.social,suspend,False,False,,False
blob.cat,suspend,False,False,,False
blockedur.mom,suspend,False,False,,False
blue.worldkey.io,suspend,False,False,,False
bmu.beerinacan.com,suspend,False,False,,False
boingo00.wtf,suspend,False,False,,False
bot.gallion.sh,suspend,False,False,,False
botsin.space,silence,False,False,,False
boyter.org,suspend,False,False,,False
brainsoap.net,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
bridge.birb.space,suspend,False,False,,False
bridge.yopp.me,suspend,False,False,,False
bridgebot.b-wells.us,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
bruh.homd.xyz,suspend,False,False,,False
bsite.spiderden.net,suspend,False,False,,False
bsl.18m250.org,suspend,False,False,,False
bsl.adamstas.com,suspend,False,False,,False
bsl.allofti.me,suspend,False,False,,False
bsl.beerinacan.com,suspend,False,False,,False
bsl.compostintraining.club,suspend,False,False,,False
bsl.fedi.grh.am,suspend,False,False,,False
bsl.gronk.cc,suspend,False,False,,False
bsl.m-n.live,suspend,False,False,,False
bsl.pride-rock-labs.com,suspend,False,False,,False
bsl.shrdr.de,suspend,False,False,,False
bsl.sid500.com,suspend,False,False,,False
bsl.tuxz.one,suspend,False,False,,False
bsl.zogan.de,suspend,False,False,,False
btrfly.social,suspend,False,False,,False
bubbletea.dev,suspend,False,False,,False
buckeye.social,suspend,False,False,,False
bungle.online,suspend,False,False,,False
bylines.social,suspend,False,False,,False
cachapa.moe,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
calobar.club,suspend,False,False,,False
carnivore.social,suspend,False,False,,False
catgirl.life,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
childpawn.shop,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
ckpg.space,suspend,False,False,,False
cliterati.club,suspend,False,False,,False
cloudisland.online,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
clube.social,suspend,False,False,,False
cobblestone.rocks,suspend,False,False,,False
cocaine.moe,suspend,False,False,,False
cock.fish,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
comfy.moe,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
coom.club,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptotooter.com,suspend,False,False,,False
cucked.me,suspend,False,False,,False
cuicui.senpaga.net,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
d-fens.systems,suspend,False,False,,False
danksquad.org,suspend,False,False,,False
darknight-coffee.org,suspend,False,False,,False
daspr.io,suspend,False,False,,False
decept.org,suspend,False,False,,False
dembased.xyz,suspend,False,False,,False
desupost.soy,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
diamondelizaa.com,suspend,False,False,,False
dickkickextremist.xyz,suspend,False,False,,False
dingdash.com,suspend,False,False,,False
dissident.business,suspend,False,False,,False
dixies.land,suspend,False,False,,False
djsumdog.com,suspend,False,False,,False
dobbs.town,suspend,False,False,,False
dogsex.org,suspend,False,False,,False
doingyourmom.club,suspend,False,False,,False
drow.be,suspend,False,False,,False
dtzbts.xyz,suspend,False,False,,False
durst.world,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
eientei.org,suspend,False,False,,False
eldritch.cafe,silence,False,False,,False
elementality.org,suspend,False,False,,False
endtimebelievers.com,suspend,False,False,,False
epenguin.com,suspend,False,False,,False
epic.meme.moe,suspend,False,False,,False
epsilon.social,suspend,False,False,,False
equel.social,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
explosion.party,suspend,False,False,,False
f.haeder.net,suspend,False,False,,False
fbxl.net,suspend,False,False,,False
fed.alteregocreations.com,suspend,False,False,,False
fed.celp.de,silence,False,False,,False
federated.fun,suspend,False,False,,False
fedi.absturztau.be,suspend,False,False,,False
fedi.aria.dog,suspend,False,False,,False
