domain,count,percent
.cf,1,16.666666666666664
076.moe,6,100.0
076.ne.jp,4,66.66666666666666
0chan.ru,1,16.666666666666664
0sint.social,1,16.666666666666664
0w0.is,2,33.33333333333333
0x68756773.moe,1,16.666666666666664
0xspace.social,1,16.666666666666664
101010.pl,6,100.0
10minutepleroma.com,4,66.66666666666666
1210.nl,1,16.666666666666664
129.159.139.0,1,16.666666666666664
13bells.com,6,100.0
1611.social,6,100.0
1745.info,3,50.0
1984.cz,1,16.666666666666664
1being.org,2,33.33333333333333
2.distsn.org,1,16.666666666666664
23.95.115.204,1,16.666666666666664
2hu.club,1,16.666666666666664
2ndamendment.social,1,16.666666666666664
3q3.de,1,16.666666666666664
3zi.ru,2,33.33333333333333
420blaze.it,1,16.666666666666664
434.earth,1,16.666666666666664
448c.net,2,33.33333333333333
4aem.com,4,66.66666666666666
4chan.icu,2,33.33333333333333
4qq.org,1,16.666666666666664
5dollah.click,6,100.0
62x54r.ru,1,16.666666666666664
7td.org,2,33.33333333333333
80percent.social,5,83.33333333333334
829.hu,2,33.33333333333333
8777.ch,4,66.66666666666666
9tail.net,1,16.666666666666664
a.nti.social,1,16.666666666666664
a.sc,4,66.66666666666666
aaathats3as.com,1,16.666666666666664
aaoth.xyz,1,16.666666666666664
abdl.link,2,33.33333333333333
abraham.su,2,33.33333333333333
absturztau.be,3,50.0
accela.online,1,16.666666666666664
activism.openworlds.info,2,33.33333333333333
activitypub-proxy.cf,4,66.66666666666666
activitypub-troll.cf,6,100.0
activitypub.actor,2,33.33333333333333
acu.lt,1,16.666666666666664
adachi.party,4,66.66666666666666
addy.gg,3,50.0
adhd.stream,1,16.666666666666664
adrienlacombe.me,1,16.666666666666664
adtension.com,2,33.33333333333333
aether.us,1,16.666666666666664
aethy.com,6,100.0
afd.best,1,16.666666666666664
affiliates.social,2,33.33333333333333
afterlife.masto.host,1,16.666666666666664
agates.io,3,50.0
agdersam.no,2,33.33333333333333
agyilag.zokni.xyz,1,16.666666666666664
ai.wiki,4,66.66666666666666
ai8w.ddns.net,2,33.33333333333333
aillust.fun,2,33.33333333333333
aipub.social,1,16.666666666666664
airen-no-jikken.icu,1,16.666666666666664
airis.work,2,33.33333333333333
airmail.cc,1,16.666666666666664
ak.kawen.space,1,16.666666666666664
ak.kyaruc.moe,1,16.666666666666664
ak.yass.ee,1,16.666666666666664
akko.disqordia.space,1,16.666666666666664
akko.layer08.com,1,16.666666666666664
akko.saturno.black,1,16.666666666666664
akko.wtf,1,16.666666666666664
akkos.fritu.re,1,16.666666666666664
akm.longyap.name.my,3,50.0
albin.social,2,33.33333333333333
alderit.com,1,16.666666666666664
alfter.us,1,16.666666666666664
alive.bar,1,16.666666666666664
allegedly.illegitimate.technology,1,16.666666666666664
alpaca.gold,3,50.0
alphasoft.org,1,16.666666666666664
alteregocreations.com,4,66.66666666666666
amala.schwartzwelt.xyz,1,16.666666666666664
amazonaws.com,1,16.666666666666664
amiantos.net,1,16.666666666666664
ams3-03.smarterliving.nl,3,50.0
anancus.fr,1,16.666666666666664
anarres.family,2,33.33333333333333
ancreport.com,3,50.0
anemoneya.me,4,66.66666666666666
angry.im,1,16.666666666666664
angrytoday.com,5,83.33333333333334
animalliberation.social,2,33.33333333333333
anime.website,4,66.66666666666666
animeisgay.com,1,16.666666666666664
animesexual.community,5,83.33333333333334
anirloli.dev,1,16.666666666666664
anitbook.site,1,16.666666666666664
anitwitter.com,1,16.666666666666664
anitwitter.moe,2,33.33333333333333
annihilation.social,6,100.0
anon-kenkai.com,5,83.33333333333334
anthro.cc,2,33.33333333333333
anti-degeneracy.club,2,33.33333333333333
anticom.world,1,16.666666666666664
antivaxxer.icu,2,33.33333333333333
aoq.me,1,16.666666666666664
ap.maladaptive.art,2,33.33333333333333
ap.tiuxo.com,1,16.666666666666664
ap.uwu.st,1,16.666666666666664
apa50.online,1,16.666666666666664
apathy.tv,2,33.33333333333333
app.github.dev,1,16.666666666666664
app.wafrn.net,1,16.666666666666664
applied-langua.ge,2,33.33333333333333
ar.aire.ml,1,16.666666666666664
arachnid.town,4,66.66666666666666
arasaka.vip,2,33.33333333333333
archivefedifor.fun,3,50.0
argentum.social,2,33.33333333333333
aria.company,2,33.33333333333333
aria.dog,1,16.666666666666664
ariona.fr,2,33.33333333333333
aroace.space,1,16.666666666666664
artalley.masto.host,1,16.666666666666664
artalley.social,2,33.33333333333333
arthaus.social,1,16.666666666666664
artisan.chat,2,33.33333333333333
arumoon.ru,1,16.666666666666664
asbestos.cafe,6,100.0
asdgsadga.social,1,16.666666666666664
asimon.org,4,66.66666666666666
asphodel.rip,3,50.0
aspiechattr.me,3,50.0
aspirant.de,1,16.666666666666664
assortedflotsam.com,2,33.33333333333333
asteroidm.space,5,83.33333333333334
astra.lol,1,16.666666666666664
atrilahiji.dev,1,16.666666666666664
autism.zone,1,16.666666666666664
autizmo.xyz,1,16.666666666666664
awoo.fai.st,1,16.666666666666664
awoo.fyi,1,16.666666666666664
awootism.club,2,33.33333333333333
awscommunity.social,1,16.666666666666664
awwter.online,2,33.33333333333333
azumanga.gay,1,16.666666666666664
b.9chan.lol,1,16.666666666666664
b.booots.tech,1,16.666666666666664
b10m.net,2,33.33333333333333
babay.icu,3,50.0
babka.social,1,16.666666666666664
babyfurs.social,1,16.666666666666664
babymetal.party,1,16.666666666666664
badat.dev,1,16.666666666666664
badly.co,4,66.66666666666666
bae.st,6,100.0
