domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.moe,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1745.info,suspend,False,False,,False
4aem.com,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
80percent.social,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
aethy.com,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
archivefedifor.fun,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
aspiechattr.me,silence,False,False,,False
bae.st,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beta.birdsite.live,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,,False
bibly.com,suspend,False,False,,False
birb.elfenban.de,suspend,False,False,,False
bird.evilcyberhacker.net,suspend,False,False,,False
bird.froth.zone,suspend,False,False,,False
bird.im-in.space,suspend,False,False,,False
bird.istheguy.com,suspend,False,False,,False
bird.nzbr.de,suspend,False,False,,False
bird.r669.live,suspend,False,False,,False
birdbots.leptonics.com,suspend,False,False,,False
birds.im-in.space,suspend,False,False,,False
birdsite.blazelight.dev,suspend,False,False,,False
birdsite.cloutier.co,suspend,False,False,,False
birdsite.darkesttimeline.social,suspend,False,False,,False
birdsite.frog.fashion,suspend,False,False,,False
birdsite.james.moody.name,suspend,False,False,,False
birdsite.lakedrops.com,suspend,False,False,,False
birdsite.link,suspend,False,False,,False
birdsite.monster,suspend,False,False,,False
birdsite.nytpu.com,suspend,False,False,,False
birdsite.platypush.tech,suspend,False,False,,False
birdsite.slashdev.space,suspend,False,False,,False
birdsite.tcjc.uk,suspend,False,False,,False
birdsite.thorlaksson.com,suspend,False,False,,False
birdsite.toot.si,suspend,False,False,,False
birdsite.vrparty.social,suspend,False,False,,False
birdsite.wilde.cloud,suspend,False,False,,False
birdsitelive.moistgarbage.info,suspend,False,False,,False
birdsitelive.treffler.cloud,suspend,False,False,,False
bitcoinhackers.org,silence,False,False,,False
bofh.social,suspend,False,False,,False
boyter.org,suspend,False,False,,False
brainsoap.net,suspend,False,False,,False
brapbarn.farm,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
bsl.sid500.com,suspend,False,False,,False
bsl.tuxz.one,suspend,False,False,,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,False,False,,False
bussy.monster,suspend,False,False,,False
cachapa.moe,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
childpawn.shop,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
chudbuds.org,suspend,False,False,,False
cloudisland.online,suspend,False,False,,False
cockw*********.com,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
coolsite.win,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
danksquad.org,suspend,False,False,,False
darknight-coffee.org,suspend,False,False,,False
daspr.io,suspend,False,False,,False
decept.org,suspend,False,False,,False
demb****.xyz,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
dev-wiki.de,suspend,False,False,,False
devs.live,silence,False,False,,False
diamondelizaa.com,suspend,False,False,,False
dingdash.com,suspend,False,False,,False
